compression,compression_level,format,nprocs,operation,runtime,size_in_bytes
,,zarr,24,write,0.18135809898376465,8000000
,,hdf,24,write,0.35512828826904297,8000000
,,zarr,24,write,0.0632479190826416,8000000
,,hdf,24,write,0.18906283378601074,8000000
,,zarr,24,write,0.0571441650390625,8000000
,,hdf,24,write,0.170989990234375,8000000
,,zarr,24,write,0.08469843864440918,8000000
,,hdf,24,write,0.16048479080200195,8000000
,,zarr,24,write,0.04510378837585449,8000000
,,hdf,24,write,0.1584455966949463,8000000
,,zarr,24,write,0.0592036247253418,8000000
,,hdf,24,write,0.1721494197845459,8000000
,,zarr,24,write,0.04918932914733887,8000000
,,hdf,24,write,0.1793837547302246,8000000
,,zarr,24,write,0.04700875282287598,8000000
,,hdf,24,write,0.2076430320739746,8000000
,,zarr,24,write,0.06440114974975586,8000000
,,hdf,24,write,0.1820216178894043,8000000
,,zarr,24,write,0.045278072357177734,8000000
,,hdf,24,write,0.15289306640625,8000000
,,zarr,24,write,0.041595458984375,8000000
,,hdf,24,write,0.18378305435180664,8000000
,,zarr,24,write,0.04464864730834961,8000000
,,hdf,24,write,0.18031787872314453,8000000
,,zarr,24,write,0.04348111152648926,8000000
,,hdf,24,write,0.20689988136291504,8000000
,,zarr,24,write,0.0423123836517334,8000000
,,hdf,24,write,0.19510555267333984,8000000
,,zarr,24,write,0.06079459190368652,8000000
,,hdf,24,write,0.17286038398742676,8000000
,,zarr,24,write,0.04413127899169922,8000000
,,hdf,24,write,0.17127203941345215,8000000
,,zarr,24,write,0.10792946815490723,8000000
,,hdf,24,write,0.12752103805541992,8000000
,,zarr,24,write,0.049571990966796875,8000000
,,hdf,24,write,0.1521766185760498,8000000
,,zarr,24,write,0.05686044692993164,8000000
,,hdf,24,write,0.179091215133667,8000000
,,zarr,24,write,0.10034894943237305,8000000
,,hdf,24,write,0.5359148979187012,8000000
,,zarr,24,write,0.04909205436706543,8000000
,,hdf,24,write,0.1617128849029541,8000000
,,zarr,24,write,0.08471941947937012,8000000
,,hdf,24,write,0.38590574264526367,8000000
,,zarr,24,write,0.039801836013793945,8000000
,,hdf,24,write,0.22750234603881836,8000000
,,zarr,24,write,0.047760009765625,8000000
,,hdf,24,write,0.17841172218322754,8000000
,,zarr,24,write,0.04295706748962402,8000000
,,hdf,24,write,0.24659967422485352,8000000
,,zarr,24,write,0.04205131530761719,8000000
,,hdf,24,write,0.2803530693054199,8000000
,,zarr,24,write,0.043546199798583984,8000000
,,hdf,24,write,0.1679093837738037,8000000
,,zarr,24,write,0.04819917678833008,8000000
