compression,compression_level,format,nprocs,operation,runtime,size_in_bytes
,,zarr,48,write,1.7655775547027588,8000000
,,hdf,48,write,0.31508564949035645,8000000
,,zarr,48,write,0.3722574710845947,8000000
,,hdf,48,write,0.15690898895263672,8000000
,,zarr,48,write,0.39110684394836426,8000000
,,hdf,48,write,0.21248483657836914,8000000
,,zarr,48,write,0.4131639003753662,8000000
,,hdf,48,write,0.2752690315246582,8000000
,,zarr,48,write,0.38933658599853516,8000000
,,hdf,48,write,0.20360183715820312,8000000
,,zarr,48,write,0.39435720443725586,8000000
,,hdf,48,write,0.23018980026245117,8000000
,,zarr,48,write,0.40120410919189453,8000000
,,hdf,48,write,0.2545318603515625,8000000
,,zarr,48,write,0.39748358726501465,8000000
,,hdf,48,write,0.45908498764038086,8000000
,,zarr,48,write,0.3983957767486572,8000000
,,hdf,48,write,0.2295382022857666,8000000
,,zarr,48,write,0.40279102325439453,8000000
,,hdf,48,write,0.21074175834655762,8000000
,,zarr,48,write,0.37572598457336426,8000000
,,hdf,48,write,0.2665364742279053,8000000
,,zarr,48,write,0.3567337989807129,8000000
,,hdf,48,write,0.1628575325012207,8000000
,,zarr,48,write,0.415238618850708,8000000
,,hdf,48,write,0.38266730308532715,8000000
,,zarr,48,write,0.40283632278442383,8000000
,,hdf,48,write,0.29765868186950684,8000000
,,zarr,48,write,0.38939833641052246,8000000
,,hdf,48,write,0.21231794357299805,8000000
,,zarr,48,write,0.37590479850769043,8000000
,,hdf,48,write,0.5060281753540039,8000000
,,zarr,48,write,0.41803789138793945,8000000
,,hdf,48,write,0.2345590591430664,8000000
,,zarr,48,write,0.3851606845855713,8000000
,,hdf,48,write,0.19443631172180176,8000000
,,zarr,48,write,0.2032930850982666,8000000
,,hdf,48,write,0.538344144821167,8000000
,,zarr,48,write,0.43938446044921875,8000000
,,hdf,48,write,0.18245768547058105,8000000
,,zarr,48,write,0.39232397079467773,8000000
,,hdf,48,write,0.12808012962341309,8000000
,,zarr,48,write,0.3822286128997803,8000000
,,hdf,48,write,0.19095182418823242,8000000
,,zarr,48,write,0.42257237434387207,8000000
,,hdf,48,write,0.2288990020751953,8000000
,,zarr,48,write,0.45031166076660156,8000000
,,hdf,48,write,0.45517420768737793,8000000
,,zarr,48,write,0.4321761131286621,8000000
,,hdf,48,write,0.2974421977996826,8000000
,,zarr,48,write,0.449843168258667,8000000
,,hdf,48,write,0.34712934494018555,8000000
,,zarr,48,write,0.37812304496765137,8000000
,,hdf,48,write,0.1984877586364746,8000000
,,zarr,48,write,0.38035058975219727,8000000
,,hdf,48,write,0.18880033493041992,8000000
,,zarr,48,write,0.33553314208984375,8000000
,,hdf,48,write,0.274702787399292,8000000
,,zarr,48,write,0.38570547103881836,8000000
,,hdf,48,write,0.1693437099456787,8000000
,,zarr,48,write,0.36725568771362305,8000000
,,hdf,48,write,0.46673154830932617,8000000
,,zarr,48,write,0.4530332088470459,8000000
,,hdf,48,write,0.19677352905273438,8000000
,,zarr,48,write,0.23827195167541504,8000000
,,hdf,48,write,0.24058318138122559,8000000
,,zarr,48,write,0.4664161205291748,8000000
,,hdf,48,write,0.21265482902526855,8000000
,,zarr,48,write,0.33921098709106445,8000000
,,hdf,48,write,0.24650073051452637,8000000
,,zarr,48,write,0.42049288749694824,8000000
,,hdf,48,write,0.6324615478515625,8000000
,,zarr,48,write,0.34070920944213867,8000000
,,hdf,48,write,0.213608980178833,8000000
,,zarr,48,write,0.4284543991088867,8000000
,,hdf,48,write,0.17265772819519043,8000000
,,zarr,48,write,0.4265305995941162,8000000
,,hdf,48,write,0.18017911911010742,8000000
,,zarr,48,write,0.3983333110809326,8000000
,,hdf,48,write,0.11186814308166504,8000000
,,zarr,48,write,0.4419064521789551,8000000
,,hdf,48,write,0.5681896209716797,8000000
,,zarr,48,write,0.4902362823486328,8000000
,,hdf,48,write,0.2378237247467041,8000000
,,zarr,48,write,0.4190030097961426,8000000
,,hdf,48,write,0.24854683876037598,8000000
,,zarr,48,write,0.505767822265625,8000000
,,hdf,48,write,0.1981515884399414,8000000
,,zarr,48,write,0.3086130619049072,8000000
,,hdf,48,write,0.1795797348022461,8000000
,,zarr,48,write,0.48038601875305176,8000000
,,hdf,48,write,0.18075919151306152,8000000
,,zarr,48,write,0.4293050765991211,8000000
,,hdf,48,write,0.22524070739746094,8000000
,,zarr,48,write,0.48549699783325195,8000000
,,hdf,48,write,0.1687924861907959,8000000
,,zarr,48,write,0.4823596477508545,8000000
,,hdf,48,write,0.3094360828399658,8000000
,,zarr,48,write,0.4580984115600586,8000000
,,hdf,48,write,0.6558835506439209,8000000
,,zarr,48,write,0.4369187355041504,8000000
,,hdf,48,write,0.24523043632507324,8000000
,,zarr,48,write,0.44217443466186523,8000000
,,hdf,48,write,0.4973440170288086,8000000
,,zarr,48,write,0.472548246383667,8000000
,,hdf,48,write,0.23238205909729004,8000000
,,zarr,48,write,0.3746166229248047,8000000
,,hdf,48,write,0.25076913833618164,8000000
,,zarr,48,write,0.43058037757873535,8000000
,,hdf,48,write,0.09486889839172363,8000000
,,zarr,48,write,0.4462101459503174,8000000
,,hdf,48,write,0.17470860481262207,8000000
,,zarr,48,write,0.40128278732299805,8000000
,,hdf,48,write,0.13160181045532227,8000000
,,zarr,48,write,0.48905372619628906,8000000
,,hdf,48,write,0.22614765167236328,8000000
,,zarr,48,write,0.4132840633392334,8000000
,,hdf,48,write,0.18188238143920898,8000000
,,zarr,48,write,0.4396698474884033,8000000
,,hdf,48,write,0.21778440475463867,8000000
,,zarr,48,write,0.436535120010376,8000000
,,hdf,48,write,0.1768028736114502,8000000
,,zarr,48,write,0.442995548248291,8000000
,,hdf,48,write,0.24814510345458984,8000000
,,zarr,48,write,0.3281893730163574,8000000
,,hdf,48,write,0.27126431465148926,8000000
,,zarr,48,write,0.4365699291229248,8000000
,,hdf,48,write,0.1512928009033203,8000000
,,zarr,48,write,0.3967466354370117,8000000
,,hdf,48,write,0.3369584083557129,8000000
,,zarr,48,write,0.8236551284790039,8000000
,,hdf,48,write,0.2825002670288086,8000000
,,zarr,48,write,0.47519636154174805,8000000
,,hdf,48,write,0.16998815536499023,8000000
,,zarr,48,write,0.5169155597686768,8000000
,,hdf,48,write,0.20408177375793457,8000000
,,zarr,48,write,0.508326530456543,8000000
,,hdf,48,write,0.18659043312072754,8000000
,,zarr,48,write,0.4743156433105469,8000000
,,hdf,48,write,0.21505022048950195,8000000
,,zarr,48,write,0.40351057052612305,8000000
,,hdf,48,write,0.64756178855896,8000000
,,zarr,48,write,0.48021960258483887,8000000
,,hdf,48,write,0.24066996574401855,8000000
,,zarr,48,write,0.464658260345459,8000000
,,hdf,48,write,0.20576763153076172,8000000
,,zarr,48,write,0.43822431564331055,8000000
,,hdf,48,write,0.17508959770202637,8000000
,,zarr,48,write,0.44504380226135254,8000000
,,hdf,48,write,0.04700517654418945,8000000
,,zarr,48,write,0.48803162574768066,8000000
,,hdf,48,write,0.29772496223449707,8000000
,,zarr,48,write,0.4536314010620117,8000000
,,hdf,48,write,0.19226288795471191,8000000
,,zarr,48,write,0.46557021141052246,8000000
,,hdf,48,write,0.21590352058410645,8000000
,,zarr,48,write,0.4068260192871094,8000000
,,hdf,48,write,0.15614628791809082,8000000
,,zarr,48,write,0.4639155864715576,8000000
,,hdf,48,write,0.39928674697875977,8000000
,,zarr,48,write,0.6627252101898193,8000000
,,hdf,48,write,0.22035574913024902,8000000
,,zarr,48,write,0.38679003715515137,8000000
,,hdf,48,write,0.2921898365020752,8000000
,,zarr,48,write,0.47540903091430664,8000000
,,hdf,48,write,0.20667481422424316,8000000
,,zarr,48,write,0.6260747909545898,8000000
,,hdf,48,write,0.18782925605773926,8000000
,,zarr,48,write,0.5517809391021729,8000000
,,hdf,48,write,0.21334385871887207,8000000
,,zarr,48,write,0.465240478515625,8000000
,,hdf,48,write,0.226301908493042,8000000
,,zarr,48,write,0.5007359981536865,8000000
,,hdf,48,write,0.21337246894836426,8000000
,,zarr,48,write,0.43292856216430664,8000000
,,hdf,48,write,0.19325494766235352,8000000
,,zarr,48,write,0.42207860946655273,8000000
,,hdf,48,write,0.17151689529418945,8000000
,,zarr,48,write,0.46707653999328613,8000000
,,hdf,48,write,0.402726411819458,8000000
,,zarr,48,write,0.7259204387664795,8000000
,,hdf,48,write,0.29705166816711426,8000000
,,zarr,48,write,0.4120321273803711,8000000
,,hdf,48,write,0.1798567771911621,8000000
,,zarr,48,write,0.43053483963012695,8000000
,,hdf,48,write,0.24867892265319824,8000000
,,zarr,48,write,0.5388789176940918,8000000
,,hdf,48,write,0.21309471130371094,8000000
,,zarr,48,write,0.573796272277832,8000000
,,hdf,48,write,0.2982473373413086,8000000
,,zarr,48,write,0.5935862064361572,8000000
,,hdf,48,write,0.21653032302856445,8000000
,,zarr,48,write,0.5715487003326416,8000000
,,hdf,48,write,0.1760115623474121,8000000
,,zarr,48,write,0.4890007972717285,8000000
,,hdf,48,write,0.5196483135223389,8000000
,,zarr,48,write,0.623892068862915,8000000
,,hdf,48,write,0.2693359851837158,8000000
,,zarr,48,write,0.5452902317047119,8000000
,,hdf,48,write,0.18906903266906738,8000000
,,zarr,48,read,0.3451390266418457,8000000
,,hdf,48,read,0.3700828552246094,8000000
,,zarr,48,read,0.4793076515197754,8000000
,,hdf,48,read,0.3139503002166748,8000000
,,zarr,48,read,0.3065602779388428,8000000
,,hdf,48,read,0.3063499927520752,8000000
,,zarr,48,read,0.31891679763793945,8000000
,,hdf,48,read,0.3100922107696533,8000000
,,zarr,48,read,0.286527156829834,8000000
,,hdf,48,read,0.3001079559326172,8000000
,,zarr,48,read,0.31136369705200195,8000000
,,hdf,48,read,0.30772948265075684,8000000
,,zarr,48,read,0.2818279266357422,8000000
,,hdf,48,read,0.35700225830078125,8000000
,,zarr,48,read,0.31241583824157715,8000000
,,hdf,48,read,0.32685375213623047,8000000
,,zarr,48,read,0.29854631423950195,8000000
,,hdf,48,read,0.3288145065307617,8000000
,,zarr,48,read,0.30655765533447266,8000000
,,hdf,48,read,0.3182978630065918,8000000
