compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,9,write,0.10859394073486328,16000000,0
,,hdf,9,write,0.011802196502685547,16000000,0
,,zarr,9,write,0.018918275833129883,16000000,1
,,hdf,9,write,0.010449886322021484,16000000,1
,,zarr,9,write,0.019899845123291016,16000000,2
,,hdf,9,write,0.010144233703613281,16000000,2
,,zarr,9,write,0.024371623992919922,16000000,3
,,hdf,9,write,0.010473251342773438,16000000,3
,,zarr,9,write,0.02028632164001465,16000000,4
,,hdf,9,write,0.016608715057373047,16000000,4
,,zarr,9,write,0.023972272872924805,16000000,5
,,hdf,9,write,0.03573942184448242,16000000,5
,,zarr,9,write,0.020166873931884766,16000000,6
,,hdf,9,write,0.01785564422607422,16000000,6
,,zarr,9,write,0.02431035041809082,16000000,7
,,hdf,9,write,0.010746002197265625,16000000,7
,,zarr,9,write,0.019873380661010742,16000000,8
,,hdf,9,write,0.009864330291748047,16000000,8
,,zarr,9,write,0.02458024024963379,16000000,9
,,hdf,9,write,0.011176347732543945,16000000,9
,,zarr,9,write,0.020697593688964844,16000000,10
,,hdf,9,write,0.011986970901489258,16000000,10
,,zarr,9,write,0.02399420738220215,16000000,11
,,hdf,9,write,0.02651071548461914,16000000,11
,,zarr,9,write,0.01957225799560547,16000000,12
,,hdf,9,write,0.045409202575683594,16000000,12
,,zarr,9,write,0.02397322654724121,16000000,13
,,hdf,9,write,0.014472246170043945,16000000,13
,,zarr,9,write,0.020650625228881836,16000000,14
,,hdf,9,write,0.010443449020385742,16000000,14
,,zarr,9,write,0.02384495735168457,16000000,15
,,hdf,9,write,0.010768413543701172,16000000,15
,,zarr,9,write,0.020102262496948242,16000000,16
,,hdf,9,write,0.04267287254333496,16000000,16
,,zarr,9,write,0.02377033233642578,16000000,17
,,hdf,9,write,0.016544342041015625,16000000,17
,,zarr,9,write,0.02022576332092285,16000000,18
,,hdf,9,write,0.020078420639038086,16000000,18
,,zarr,9,write,0.0331883430480957,16000000,19
,,hdf,9,write,0.012067556381225586,16000000,19
,,zarr,9,write,0.024903535842895508,16000000,20
,,hdf,9,write,0.010205745697021484,16000000,20
,,zarr,9,write,0.0248258113861084,16000000,21
,,hdf,9,write,0.010121822357177734,16000000,21
,,zarr,9,write,0.023437023162841797,16000000,22
,,hdf,9,write,0.01089787483215332,16000000,22
,,zarr,9,write,0.024521589279174805,16000000,23
,,hdf,9,write,0.010479927062988281,16000000,23
,,zarr,9,write,0.023670196533203125,16000000,24
,,hdf,9,write,0.013159036636352539,16000000,24
,,zarr,9,write,0.023947715759277344,16000000,25
,,hdf,9,write,0.017230749130249023,16000000,25
