compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,1,write,0.04950141906738281,16000000,0
,,hdf,1,write,0.00508880615234375,16000000,0
,,zarr,1,write,0.011338472366333008,16000000,1
,,hdf,1,write,0.005063056945800781,16000000,1
,,zarr,1,write,0.009381532669067383,16000000,2
,,hdf,1,write,0.00496673583984375,16000000,2
,,zarr,1,write,0.015073776245117188,16000000,3
,,hdf,1,write,0.005120277404785156,16000000,3
,,zarr,1,write,0.010993480682373047,16000000,4
,,hdf,1,write,0.005156993865966797,16000000,4
,,zarr,1,write,0.015602827072143555,16000000,5
,,hdf,1,write,0.004910707473754883,16000000,5
,,zarr,1,write,0.011030435562133789,16000000,6
,,hdf,1,write,0.005173444747924805,16000000,6
,,zarr,1,write,0.014918088912963867,16000000,7
,,hdf,1,write,0.005082845687866211,16000000,7
,,zarr,1,write,0.011683940887451172,16000000,8
,,hdf,1,write,0.0051364898681640625,16000000,8
,,zarr,1,write,0.01494741439819336,16000000,9
,,hdf,1,write,0.004844188690185547,16000000,9
,,zarr,1,write,0.010935306549072266,16000000,10
,,hdf,1,write,0.0050928592681884766,16000000,10
,,zarr,1,write,0.015071392059326172,16000000,11
,,hdf,1,write,0.0050945281982421875,16000000,11
,,zarr,1,write,0.010982275009155273,16000000,12
,,hdf,1,write,0.0051615238189697266,16000000,12
,,zarr,1,write,0.014912128448486328,16000000,13
,,hdf,1,write,0.00485682487487793,16000000,13
,,zarr,1,write,0.01109457015991211,16000000,14
,,hdf,1,write,0.005042076110839844,16000000,14
,,zarr,1,write,0.014921188354492188,16000000,15
,,hdf,1,write,0.0050699710845947266,16000000,15
,,zarr,1,write,0.011050939559936523,16000000,16
,,hdf,1,write,0.005163669586181641,16000000,16
,,zarr,1,write,0.014961957931518555,16000000,17
,,hdf,1,write,0.004892826080322266,16000000,17
,,zarr,1,write,0.011014461517333984,16000000,18
,,hdf,1,write,0.0050885677337646484,16000000,18
,,zarr,1,write,0.014904975891113281,16000000,19
,,hdf,1,write,0.0050737857818603516,16000000,19
,,zarr,1,write,0.011066913604736328,16000000,20
,,hdf,1,write,0.00515294075012207,16000000,20
,,zarr,1,write,0.01499176025390625,16000000,21
,,hdf,1,write,0.004887104034423828,16000000,21
,,zarr,1,write,0.010921239852905273,16000000,22
,,hdf,1,write,0.0050601959228515625,16000000,22
,,zarr,1,write,0.014912843704223633,16000000,23
,,hdf,1,write,0.00507044792175293,16000000,23
,,zarr,1,write,0.010937213897705078,16000000,24
,,hdf,1,write,0.005148410797119141,16000000,24
,,zarr,1,write,0.015508651733398438,16000000,25
,,hdf,1,write,0.004952430725097656,16000000,25
,,zarr,1,write,0.011046409606933594,16000000,26
,,hdf,1,write,0.005079746246337891,16000000,26
,,zarr,1,write,0.015065908432006836,16000000,27
,,hdf,1,write,0.0051116943359375,16000000,27
,,zarr,1,write,0.011039257049560547,16000000,28
,,hdf,1,write,0.005182027816772461,16000000,28
,,zarr,1,write,0.015017509460449219,16000000,29
,,hdf,1,write,0.0049076080322265625,16000000,29
,,zarr,1,write,0.011096477508544922,16000000,30
,,hdf,1,write,0.005118131637573242,16000000,30
,,zarr,1,write,0.014989614486694336,16000000,31
,,hdf,1,write,0.005049943923950195,16000000,31
,,zarr,1,write,0.011770486831665039,16000000,32
,,hdf,1,write,0.00519871711730957,16000000,32
,,zarr,1,write,0.015022993087768555,16000000,33
,,hdf,1,write,0.004941225051879883,16000000,33
,,zarr,1,write,0.010934591293334961,16000000,34
,,hdf,1,write,0.005136966705322266,16000000,34
,,zarr,1,write,0.015053510665893555,16000000,35
