compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,4,write,0.05880618095397949,8000000,0
,,hdf,4,write,0.006253242492675781,8000000,0
,,zarr,4,write,0.03068375587463379,8000000,1
,,hdf,4,write,0.004022836685180664,8000000,1
,,zarr,4,write,0.015307426452636719,8000000,2
,,hdf,4,write,0.0030717849731445312,8000000,2
,,zarr,4,write,0.014277458190917969,8000000,3
,,hdf,4,write,0.0030875205993652344,8000000,3
,,zarr,4,write,0.00905919075012207,8000000,4
,,hdf,4,write,0.0031206607818603516,8000000,4
,,zarr,4,write,0.014025211334228516,8000000,5
,,hdf,4,write,0.0031163692474365234,8000000,5
,,zarr,4,write,0.008958816528320312,8000000,6
,,hdf,4,write,0.0031681060791015625,8000000,6
,,zarr,4,write,0.013995885848999023,8000000,7
,,hdf,4,write,0.003164052963256836,8000000,7
,,zarr,4,write,0.008971691131591797,8000000,8
,,hdf,4,write,0.003084897994995117,8000000,8
,,zarr,4,write,0.013975381851196289,8000000,9
,,hdf,4,write,0.003113269805908203,8000000,9
,,zarr,4,write,0.008959054946899414,8000000,10
,,hdf,4,write,0.003171682357788086,8000000,10
,,zarr,4,write,0.013916730880737305,8000000,11
,,hdf,4,write,0.0032052993774414062,8000000,11
,,zarr,4,write,0.009067535400390625,8000000,12
,,hdf,4,write,0.0030748844146728516,8000000,12
,,zarr,4,write,0.014050960540771484,8000000,13
,,hdf,4,write,0.003099203109741211,8000000,13
,,zarr,4,write,0.008736848831176758,8000000,14
,,hdf,4,write,0.0031185150146484375,8000000,14
,,zarr,4,write,0.013622760772705078,8000000,15
,,hdf,4,write,0.0030367374420166016,8000000,15
,,zarr,4,write,0.008914470672607422,8000000,16
,,hdf,4,write,0.0031294822692871094,8000000,16
,,zarr,4,write,0.01393270492553711,8000000,17
,,hdf,4,write,0.0030176639556884766,8000000,17
,,zarr,4,write,0.008981466293334961,8000000,18
,,hdf,4,write,0.003112316131591797,8000000,18
,,zarr,4,write,0.01427006721496582,8000000,19
,,hdf,4,write,0.003032684326171875,8000000,19
,,zarr,4,write,0.008954524993896484,8000000,20
,,hdf,4,write,0.003128528594970703,8000000,20
,,zarr,4,write,0.013875722885131836,8000000,21
,,hdf,4,write,0.0047948360443115234,8000000,21
,,zarr,4,write,0.009085655212402344,8000000,22
,,hdf,4,write,0.0032329559326171875,8000000,22
,,zarr,4,write,0.013646125793457031,8000000,23
,,hdf,4,write,0.0031104087829589844,8000000,23
,,zarr,4,write,0.008998870849609375,8000000,24
,,hdf,4,write,0.0031769275665283203,8000000,24
,,zarr,4,write,0.014010190963745117,8000000,25
,,hdf,4,write,0.0030694007873535156,8000000,25
,,zarr,4,write,0.008901357650756836,8000000,26
,,hdf,4,write,0.0031270980834960938,8000000,26
,,zarr,4,write,0.01361393928527832,8000000,27
,,hdf,4,write,0.004857063293457031,8000000,27
,,zarr,4,write,0.00914764404296875,8000000,28
,,hdf,4,write,0.003103017807006836,8000000,28
,,zarr,4,write,0.01415872573852539,8000000,29
,,hdf,4,write,0.003056764602661133,8000000,29
,,zarr,4,write,0.00904393196105957,8000000,30
,,hdf,4,write,0.0031175613403320312,8000000,30
,,zarr,4,write,0.013877153396606445,8000000,31
,,hdf,4,write,0.0031168460845947266,8000000,31
,,zarr,4,write,0.009529590606689453,8000000,32
,,hdf,4,write,0.003059864044189453,8000000,32
,,zarr,4,write,0.01359868049621582,8000000,33
,,hdf,4,write,0.003215789794921875,8000000,33
,,zarr,4,write,0.009036779403686523,8000000,34
,,hdf,4,write,0.0031516551971435547,8000000,34
,,zarr,4,write,0.01363825798034668,8000000,35
,,hdf,4,write,0.0031354427337646484,8000000,35
,,zarr,4,write,0.009416341781616211,8000000,36
,,hdf,4,write,0.003008127212524414,8000000,36
,,zarr,4,write,0.01384878158569336,8000000,37
,,hdf,4,write,0.0031785964965820312,8000000,37
,,zarr,4,write,0.009421825408935547,8000000,38
,,hdf,4,write,0.003079652786254883,8000000,38
,,zarr,4,write,0.013778209686279297,8000000,39
,,hdf,4,write,0.0031511783599853516,8000000,39
,,zarr,4,write,0.008834600448608398,8000000,40
,,hdf,4,write,0.0030765533447265625,8000000,40
,,zarr,4,write,0.01368570327758789,8000000,41
,,hdf,4,write,0.0031020641326904297,8000000,41
,,zarr,4,write,0.008919000625610352,8000000,42
,,hdf,4,write,0.0030775070190429688,8000000,42
,,zarr,4,write,0.013672590255737305,8000000,43
,,hdf,4,write,0.004906892776489258,8000000,43
,,zarr,4,write,0.008895397186279297,8000000,44
,,hdf,4,write,0.003086090087890625,8000000,44
,,zarr,4,write,0.014146566390991211,8000000,45
,,hdf,4,write,0.0031023025512695312,8000000,45
,,zarr,4,write,0.009001493453979492,8000000,46
,,hdf,4,write,0.003061532974243164,8000000,46
,,zarr,4,write,0.013698816299438477,8000000,47
,,hdf,4,write,0.003140687942504883,8000000,47
,,zarr,4,write,0.009160280227661133,8000000,48
,,hdf,4,write,0.004927873611450195,8000000,48
,,zarr,4,write,0.013746261596679688,8000000,49
,,hdf,4,write,0.0032324790954589844,8000000,49
,,zarr,4,write,0.0089874267578125,8000000,50
,,hdf,4,write,0.0031630992889404297,8000000,50
,,zarr,4,write,0.013746261596679688,8000000,51
,,hdf,4,write,0.0031843185424804688,8000000,51
,,zarr,4,write,0.009097814559936523,8000000,52
,,hdf,4,write,0.0030922889709472656,8000000,52
,,zarr,4,write,0.013876199722290039,8000000,53
,,hdf,4,write,0.0031015872955322266,8000000,53
,,zarr,4,write,0.009093046188354492,8000000,54
,,hdf,4,write,0.004832267761230469,8000000,54
,,zarr,4,write,0.013712167739868164,8000000,55
,,hdf,4,write,0.0031478404998779297,8000000,55
,,zarr,4,write,0.009029626846313477,8000000,56
,,hdf,4,write,0.0031239986419677734,8000000,56
,,zarr,4,write,0.013746023178100586,8000000,57
,,hdf,4,write,0.0031468868255615234,8000000,57
,,zarr,4,write,0.009190082550048828,8000000,58
,,hdf,4,write,0.0031490325927734375,8000000,58
,,zarr,4,write,0.013956546783447266,8000000,59
,,hdf,4,write,0.0031948089599609375,8000000,59
,,zarr,4,write,0.009028196334838867,8000000,60
,,hdf,4,write,0.0031905174255371094,8000000,60
,,zarr,4,write,0.013737201690673828,8000000,61
,,hdf,4,write,0.003166675567626953,8000000,61
,,zarr,4,write,0.009049177169799805,8000000,62
,,hdf,4,write,0.0031533241271972656,8000000,62
,,zarr,4,write,0.013915777206420898,8000000,63
,,hdf,4,write,0.003149271011352539,8000000,63
,,zarr,4,write,0.009152650833129883,8000000,64
,,hdf,4,write,0.0030639171600341797,8000000,64
,,zarr,4,write,0.013804435729980469,8000000,65
,,hdf,4,write,0.003200054168701172,8000000,65
,,zarr,4,write,0.008952617645263672,8000000,66
,,hdf,4,write,0.003095865249633789,8000000,66
,,zarr,4,write,0.01425313949584961,8000000,67
,,hdf,4,write,0.003086090087890625,8000000,67
,,zarr,4,write,0.009092330932617188,8000000,68
,,hdf,4,write,0.003059864044189453,8000000,68
,,zarr,4,write,0.013818740844726562,8000000,69
,,hdf,4,write,0.0031075477600097656,8000000,69
,,zarr,4,write,0.009067773818969727,8000000,70
,,hdf,4,write,0.0050067901611328125,8000000,70
,,zarr,4,write,0.014354944229125977,8000000,71
,,hdf,4,write,0.003198385238647461,8000000,71
,,zarr,4,write,0.009246826171875,8000000,72
,,hdf,4,write,0.003188610076904297,8000000,72
,,zarr,4,write,0.013850688934326172,8000000,73
,,hdf,4,write,0.003180980682373047,8000000,73
