compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,4,write,0.0826878547668457,16000000,0
,,hdf,4,write,0.008103370666503906,16000000,0
,,zarr,4,write,0.01347208023071289,16000000,1
,,hdf,4,write,0.006113529205322266,16000000,1
,,zarr,4,write,0.012828350067138672,16000000,2
,,hdf,4,write,0.006204366683959961,16000000,2
,,zarr,4,write,0.018281221389770508,16000000,3
,,hdf,4,write,0.0061266422271728516,16000000,3
,,zarr,4,write,0.013523340225219727,16000000,4
,,hdf,4,write,0.006204128265380859,16000000,4
,,zarr,4,write,0.01773858070373535,16000000,5
,,hdf,4,write,0.006071805953979492,16000000,5
,,zarr,4,write,0.013552427291870117,16000000,6
,,hdf,4,write,0.006253957748413086,16000000,6
,,zarr,4,write,0.017618179321289062,16000000,7
,,hdf,4,write,0.006056308746337891,16000000,7
,,zarr,4,write,0.013463973999023438,16000000,8
,,hdf,4,write,0.0060007572174072266,16000000,8
,,zarr,4,write,0.01759505271911621,16000000,9
,,hdf,4,write,0.0061762332916259766,16000000,9
,,zarr,4,write,0.013228178024291992,16000000,10
,,hdf,4,write,0.006318092346191406,16000000,10
,,zarr,4,write,0.017911195755004883,16000000,11
,,hdf,4,write,0.00611567497253418,16000000,11
,,zarr,4,write,0.013340473175048828,16000000,12
,,hdf,4,write,0.006334543228149414,16000000,12
,,zarr,4,write,0.018070697784423828,16000000,13
,,hdf,4,write,0.006082773208618164,16000000,13
,,zarr,4,write,0.014347314834594727,16000000,14
,,hdf,4,write,0.0062923431396484375,16000000,14
,,zarr,4,write,0.017716407775878906,16000000,15
,,hdf,4,write,0.0066225528717041016,16000000,15
,,zarr,4,write,0.013301372528076172,16000000,16
,,hdf,4,write,0.005956888198852539,16000000,16
,,zarr,4,write,0.01802539825439453,16000000,17
,,hdf,4,write,0.006032705307006836,16000000,17
,,zarr,4,write,0.013254880905151367,16000000,18
,,hdf,4,write,0.00616145133972168,16000000,18
,,zarr,4,write,0.017801523208618164,16000000,19
,,hdf,4,write,0.006117105484008789,16000000,19
,,zarr,4,write,0.013155937194824219,16000000,20
,,hdf,4,write,0.006150007247924805,16000000,20
,,zarr,4,write,0.01746821403503418,16000000,21
,,hdf,4,write,0.006086587905883789,16000000,21
,,zarr,4,write,0.01325845718383789,16000000,22
,,hdf,4,write,0.006014823913574219,16000000,22
