compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,2,write,0.018447399139404297,8000000,0
,,hdf,2,write,0.005257844924926758,8000000,0
,,zarr,2,write,0.008092880249023438,8000000,1
,,hdf,2,write,0.002969026565551758,8000000,1
,,zarr,2,write,0.011028051376342773,8000000,2
,,hdf,2,write,0.0029296875,8000000,2
,,zarr,2,write,0.01445317268371582,8000000,3
,,hdf,2,write,0.0030243396759033203,8000000,3
,,zarr,2,write,0.00865316390991211,8000000,4
,,hdf,2,write,0.0029408931732177734,8000000,4
,,zarr,2,write,0.013943910598754883,8000000,5
,,hdf,2,write,0.003009319305419922,8000000,5
,,zarr,2,write,0.008706331253051758,8000000,6
,,hdf,2,write,0.002972841262817383,8000000,6
,,zarr,2,write,0.014065265655517578,8000000,7
,,hdf,2,write,0.002965211868286133,8000000,7
,,zarr,2,write,0.008589744567871094,8000000,8
,,hdf,2,write,0.0028829574584960938,8000000,8
,,zarr,2,write,0.013955354690551758,8000000,9
,,hdf,2,write,0.003025531768798828,8000000,9
,,zarr,2,write,0.008621692657470703,8000000,10
,,hdf,2,write,0.0029850006103515625,8000000,10
,,zarr,2,write,0.013907909393310547,8000000,11
,,hdf,2,write,0.0030367374420166016,8000000,11
,,zarr,2,write,0.008668661117553711,8000000,12
,,hdf,2,write,0.0030095577239990234,8000000,12
,,zarr,2,write,0.013855695724487305,8000000,13
,,hdf,2,write,0.0029859542846679688,8000000,13
,,zarr,2,write,0.008606433868408203,8000000,14
,,hdf,2,write,0.002947092056274414,8000000,14
,,zarr,2,write,0.013923406600952148,8000000,15
,,hdf,2,write,0.003042936325073242,8000000,15
,,zarr,2,write,0.008624553680419922,8000000,16
,,hdf,2,write,0.0029489994049072266,8000000,16
,,zarr,2,write,0.013897418975830078,8000000,17
,,hdf,2,write,0.0030426979064941406,8000000,17
,,zarr,2,write,0.008656740188598633,8000000,18
,,hdf,2,write,0.0029926300048828125,8000000,18
,,zarr,2,write,0.013859033584594727,8000000,19
,,hdf,2,write,0.002942323684692383,8000000,19
,,zarr,2,write,0.009179353713989258,8000000,20
,,hdf,2,write,0.0029027462005615234,8000000,20
,,zarr,2,write,0.014623641967773438,8000000,21
,,hdf,2,write,0.002862691879272461,8000000,21
,,zarr,2,write,0.008651971817016602,8000000,22
,,hdf,2,write,0.0028901100158691406,8000000,22
,,zarr,2,write,0.013904333114624023,8000000,23
,,hdf,2,write,0.0029883384704589844,8000000,23
,,zarr,2,write,0.008623123168945312,8000000,24
,,hdf,2,write,0.0029480457305908203,8000000,24
,,zarr,2,write,0.013915061950683594,8000000,25
,,hdf,2,write,0.002985715866088867,8000000,25
,,zarr,2,write,0.008617401123046875,8000000,26
,,hdf,2,write,0.0029571056365966797,8000000,26
,,zarr,2,write,0.013820409774780273,8000000,27
,,hdf,2,write,0.002993345260620117,8000000,27
,,zarr,2,write,0.008657455444335938,8000000,28
,,hdf,2,write,0.0029244422912597656,8000000,28
,,zarr,2,write,0.013879537582397461,8000000,29
,,hdf,2,write,0.0030558109283447266,8000000,29
,,zarr,2,write,0.008579492568969727,8000000,30
,,hdf,2,write,0.0029833316802978516,8000000,30
,,zarr,2,write,0.01388406753540039,8000000,31
,,hdf,2,write,0.002953052520751953,8000000,31
,,zarr,2,write,0.009125232696533203,8000000,32
,,hdf,2,write,0.0028960704803466797,8000000,32
,,zarr,2,write,0.013700246810913086,8000000,33
,,hdf,2,write,0.0030362606048583984,8000000,33
,,zarr,2,write,0.008528709411621094,8000000,34
,,hdf,2,write,0.0029790401458740234,8000000,34
,,zarr,2,write,0.013879060745239258,8000000,35
,,hdf,2,write,0.003026723861694336,8000000,35
,,zarr,2,write,0.008636474609375,8000000,36
,,hdf,2,write,0.003002166748046875,8000000,36
,,zarr,2,write,0.013878583908081055,8000000,37
,,hdf,2,write,0.003030538558959961,8000000,37
,,zarr,2,write,0.00924539566040039,8000000,38
,,hdf,2,write,0.0028924942016601562,8000000,38
,,zarr,2,write,0.013846158981323242,8000000,39
,,hdf,2,write,0.0030159950256347656,8000000,39
,,zarr,2,write,0.00865936279296875,8000000,40
,,hdf,2,write,0.0029892921447753906,8000000,40
,,zarr,2,write,0.013933897018432617,8000000,41
,,hdf,2,write,0.0029807090759277344,8000000,41
,,zarr,2,write,0.00857090950012207,8000000,42
,,hdf,2,write,0.0029366016387939453,8000000,42
,,zarr,2,write,0.01389002799987793,8000000,43
,,hdf,2,write,0.0029840469360351562,8000000,43
,,zarr,2,write,0.009314537048339844,8000000,44
,,hdf,2,write,0.002947092056274414,8000000,44
,,zarr,2,write,0.01432037353515625,8000000,45
,,hdf,2,write,0.0030357837677001953,8000000,45
,,zarr,2,write,0.008622884750366211,8000000,46
,,hdf,2,write,0.0029764175415039062,8000000,46
,,zarr,2,write,0.013949155807495117,8000000,47
,,hdf,2,write,0.0029740333557128906,8000000,47
,,zarr,2,write,0.008778572082519531,8000000,48
,,hdf,2,write,0.002984762191772461,8000000,48
,,zarr,2,write,0.01393580436706543,8000000,49
,,hdf,2,write,0.0030517578125,8000000,49
,,zarr,2,write,0.008684158325195312,8000000,50
,,hdf,2,write,0.0029168128967285156,8000000,50
,,zarr,2,write,0.013837099075317383,8000000,51
,,hdf,2,write,0.003056764602661133,8000000,51
,,zarr,2,write,0.008653640747070312,8000000,52
,,hdf,2,write,0.0029959678649902344,8000000,52
,,zarr,2,write,0.013844728469848633,8000000,53
,,hdf,2,write,0.002971172332763672,8000000,53
,,zarr,2,write,0.008679866790771484,8000000,54
,,hdf,2,write,0.0030069351196289062,8000000,54
,,zarr,2,write,0.013897895812988281,8000000,55
,,hdf,2,write,0.0029904842376708984,8000000,55
,,zarr,2,write,0.008725166320800781,8000000,56
,,hdf,2,write,0.002936840057373047,8000000,56
,,zarr,2,write,0.013826608657836914,8000000,57
,,hdf,2,write,0.003009319305419922,8000000,57
,,zarr,2,write,0.008642911911010742,8000000,58
,,hdf,2,write,0.0029909610748291016,8000000,58
,,zarr,2,write,0.013887166976928711,8000000,59
,,hdf,2,write,0.0030112266540527344,8000000,59
,,zarr,2,write,0.008696317672729492,8000000,60
,,hdf,2,write,0.0029861927032470703,8000000,60
,,zarr,2,write,0.013895988464355469,8000000,61
,,hdf,2,write,0.002987384796142578,8000000,61
,,zarr,2,write,0.008865594863891602,8000000,62
,,hdf,2,write,0.003000974655151367,8000000,62
,,zarr,2,write,0.01396036148071289,8000000,63
,,hdf,2,write,0.0030150413513183594,8000000,63
,,zarr,2,write,0.008734941482543945,8000000,64
,,hdf,2,write,0.0029964447021484375,8000000,64
,,zarr,2,write,0.01389765739440918,8000000,65
,,hdf,2,write,0.0030035972595214844,8000000,65
,,zarr,2,write,0.008751392364501953,8000000,66
,,hdf,2,write,0.0030202865600585938,8000000,66
,,zarr,2,write,0.013880729675292969,8000000,67
,,hdf,2,write,0.0029201507568359375,8000000,67
,,zarr,2,write,0.008607625961303711,8000000,68
,,hdf,2,write,0.0030345916748046875,8000000,68
,,zarr,2,write,0.013888120651245117,8000000,69
,,hdf,2,write,0.002989053726196289,8000000,69
