compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,18,write,0.14956092834472656,8000000,0
,,hdf,18,write,0.011340141296386719,8000000,0
,,zarr,18,write,0.02648329734802246,8000000,1
,,hdf,18,write,0.00977015495300293,8000000,1
,,zarr,18,write,0.030884742736816406,8000000,2
,,hdf,18,write,0.009398698806762695,8000000,2
,,zarr,18,write,0.03289604187011719,8000000,3
,,hdf,18,write,0.009356975555419922,8000000,3
,,zarr,18,write,0.028630971908569336,8000000,4
,,hdf,18,write,0.011341094970703125,8000000,4
,,zarr,18,write,0.0312960147857666,8000000,5
,,hdf,18,write,0.010651111602783203,8000000,5
,,zarr,18,write,0.029175996780395508,8000000,6
,,hdf,18,write,0.10968756675720215,8000000,6
,,zarr,18,write,0.03168225288391113,8000000,7
,,hdf,18,write,0.01020359992980957,8000000,7
,,zarr,18,write,0.02864694595336914,8000000,8
,,hdf,18,write,0.009923696517944336,8000000,8
,,zarr,18,write,0.03276944160461426,8000000,9
,,hdf,18,write,0.010136604309082031,8000000,9
,,zarr,18,write,0.029364347457885742,8000000,10
,,hdf,18,write,0.010963678359985352,8000000,10
,,zarr,18,write,0.03330183029174805,8000000,11
,,hdf,18,write,0.009569644927978516,8000000,11
,,zarr,18,write,0.027466773986816406,8000000,12
,,hdf,18,write,0.00927281379699707,8000000,12
,,zarr,18,write,0.03309941291809082,8000000,13
,,hdf,18,write,0.02042102813720703,8000000,13
,,zarr,18,write,0.030974864959716797,8000000,14
,,hdf,18,write,0.010329246520996094,8000000,14
,,zarr,18,write,0.0344853401184082,8000000,15
,,hdf,18,write,0.011274099349975586,8000000,15
,,zarr,18,write,0.028744220733642578,8000000,16
,,hdf,18,write,0.010473012924194336,8000000,16
,,zarr,18,write,0.038274288177490234,8000000,17
,,hdf,18,write,0.009830474853515625,8000000,17
,,zarr,18,write,0.032216787338256836,8000000,18
,,hdf,18,write,0.011343955993652344,8000000,18
,,zarr,18,write,0.03329300880432129,8000000,19
,,hdf,18,write,0.011674165725708008,8000000,19
,,zarr,18,write,0.029443740844726562,8000000,20
,,hdf,18,write,0.010204553604125977,8000000,20
,,zarr,18,write,0.03143930435180664,8000000,21
,,hdf,18,write,0.048338890075683594,8000000,21
,,zarr,18,write,0.028520822525024414,8000000,22
,,hdf,18,write,0.011312723159790039,8000000,22
,,zarr,18,write,0.03204512596130371,8000000,23
,,hdf,18,write,0.009881258010864258,8000000,23
,,zarr,18,write,0.028049230575561523,8000000,24
,,hdf,18,write,0.010960578918457031,8000000,24
,,zarr,18,write,0.03220796585083008,8000000,25
,,hdf,18,write,0.011746406555175781,8000000,25
,,zarr,18,write,0.029545307159423828,8000000,26
,,hdf,18,write,0.011170387268066406,8000000,26
,,zarr,18,write,0.0846259593963623,8000000,27
,,hdf,18,write,0.024425268173217773,8000000,27
,,zarr,18,write,0.03503155708312988,8000000,28
,,hdf,18,write,0.029873371124267578,8000000,28
,,zarr,18,write,0.03601646423339844,8000000,29
,,hdf,18,write,0.010313034057617188,8000000,29
,,zarr,18,write,0.07169437408447266,8000000,30
,,hdf,18,write,0.017543315887451172,8000000,30
,,zarr,18,write,0.04463601112365723,8000000,31
,,hdf,18,write,0.02835536003112793,8000000,31
,,zarr,18,write,0.03062891960144043,8000000,32
,,hdf,18,write,0.011918783187866211,8000000,32
,,zarr,18,write,0.03544974327087402,8000000,33
,,hdf,18,write,0.010836362838745117,8000000,33
,,zarr,18,write,0.0391848087310791,8000000,34
,,hdf,18,write,0.018872737884521484,8000000,34
,,zarr,18,write,0.03354787826538086,8000000,35
,,hdf,18,write,0.01445150375366211,8000000,35
,,zarr,18,write,0.032670021057128906,8000000,36
,,hdf,18,write,0.011078596115112305,8000000,36
,,zarr,18,write,0.06248354911804199,8000000,37
,,hdf,18,write,0.019835233688354492,8000000,37
,,zarr,18,write,0.029844045639038086,8000000,38
,,hdf,18,write,0.024139404296875,8000000,38
,,zarr,18,write,0.03937172889709473,8000000,39
,,hdf,18,write,0.010653257369995117,8000000,39
,,zarr,18,write,0.03229093551635742,8000000,40
,,hdf,18,write,0.018815040588378906,8000000,40
,,zarr,18,write,0.033111572265625,8000000,41
,,hdf,18,write,0.034288644790649414,8000000,41
,,zarr,18,write,0.027352094650268555,8000000,42
,,hdf,18,write,0.17081332206726074,8000000,42
,,zarr,18,write,0.03174257278442383,8000000,43
,,hdf,18,write,0.032566070556640625,8000000,43
,,zarr,18,write,0.034509897232055664,8000000,44
,,hdf,18,write,0.012657403945922852,8000000,44
,,zarr,18,write,0.09630584716796875,8000000,45
,,hdf,18,write,0.010770559310913086,8000000,45
,,zarr,18,write,0.039801597595214844,8000000,46
,,hdf,18,write,0.01993846893310547,8000000,46
,,zarr,18,write,0.04270315170288086,8000000,47
,,hdf,18,write,0.018222332000732422,8000000,47
