compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,4,write,0.010393619537353516,800000,0
,,hdf,4,write,0.0012807846069335938,800000,0
,,zarr,4,write,0.0016274452209472656,800000,1
,,hdf,4,write,0.0010478496551513672,800000,1
,,zarr,4,write,0.0016870498657226562,800000,2
,,hdf,4,write,0.0007669925689697266,800000,2
,,zarr,4,write,0.0015110969543457031,800000,3
,,hdf,4,write,0.0010666847229003906,800000,3
,,zarr,4,write,0.0015819072723388672,800000,4
,,hdf,4,write,0.0010576248168945312,800000,4
,,zarr,4,write,0.001550912857055664,800000,5
,,hdf,4,write,0.0008835792541503906,800000,5
,,zarr,4,write,0.001516103744506836,800000,6
,,hdf,4,write,0.0010499954223632812,800000,6
,,zarr,4,write,0.0015361309051513672,800000,7
,,hdf,4,write,0.0010612010955810547,800000,7
,,zarr,4,write,0.001567840576171875,800000,8
,,hdf,4,write,0.0010535717010498047,800000,8
,,zarr,4,write,0.0015845298767089844,800000,9
,,hdf,4,write,0.0010652542114257812,800000,9
,,zarr,4,write,0.001538991928100586,800000,10
,,hdf,4,write,0.0006854534149169922,800000,10
,,zarr,4,write,0.0015609264373779297,800000,11
,,hdf,4,write,0.0010631084442138672,800000,11
,,zarr,4,write,0.0015244483947753906,800000,12
,,hdf,4,write,0.0010666847229003906,800000,12
,,zarr,4,write,0.0015554428100585938,800000,13
,,hdf,4,write,0.0009839534759521484,800000,13
,,zarr,4,write,0.0015609264373779297,800000,14
,,hdf,4,write,0.0010874271392822266,800000,14
,,zarr,4,write,0.0015947818756103516,800000,15
,,hdf,4,write,0.0008800029754638672,800000,15
,,zarr,4,write,0.00235748291015625,800000,16
,,hdf,4,write,0.0010709762573242188,800000,16
,,zarr,4,write,0.0015482902526855469,800000,17
,,hdf,4,write,0.0010690689086914062,800000,17
,,zarr,4,write,0.0015113353729248047,800000,18
,,hdf,4,write,0.0008027553558349609,800000,18
,,zarr,4,write,0.0015735626220703125,800000,19
,,hdf,4,write,0.0010828971862792969,800000,19
,,zarr,4,write,0.0014986991882324219,800000,20
,,hdf,4,write,0.0010502338409423828,800000,20
,,zarr,4,write,0.0015850067138671875,800000,21
,,hdf,4,write,0.001065969467163086,800000,21
,,zarr,4,write,0.0015876293182373047,800000,22
,,hdf,4,write,0.001065969467163086,800000,22
,,zarr,4,write,0.002404928207397461,800000,23
,,hdf,4,write,0.0007479190826416016,800000,23
,,zarr,4,write,0.0015921592712402344,800000,24
,,hdf,4,write,0.0010988712310791016,800000,24
,,zarr,4,write,0.001504659652709961,800000,25
,,hdf,4,write,0.0010647773742675781,800000,25
,,zarr,4,write,0.001956939697265625,800000,26
,,hdf,4,write,0.0008914470672607422,800000,26
,,zarr,4,write,0.0015628337860107422,800000,27
,,hdf,4,write,0.0010700225830078125,800000,27
,,zarr,4,write,0.0015745162963867188,800000,28
,,hdf,4,write,0.0009627342224121094,800000,28
,,zarr,4,write,0.0015006065368652344,800000,29
,,hdf,4,write,0.0010595321655273438,800000,29
,,zarr,4,write,0.00157928466796875,800000,30
