compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,4,write,0.037633419036865234,8000000,0
,,hdf,4,write,0.005202770233154297,8000000,0
,,zarr,4,write,0.026051044464111328,8000000,1
,,hdf,4,write,0.0040667057037353516,8000000,1
,,zarr,4,write,0.015056610107421875,8000000,2
,,hdf,4,write,0.0031952857971191406,8000000,2
,,zarr,4,write,0.014586448669433594,8000000,3
,,hdf,4,write,0.0031676292419433594,8000000,3
,,zarr,4,write,0.009735584259033203,8000000,4
,,hdf,4,write,0.003153085708618164,8000000,4
,,zarr,4,write,0.01453399658203125,8000000,5
,,hdf,4,write,0.0031557083129882812,8000000,5
,,zarr,4,write,0.009370088577270508,8000000,6
,,hdf,4,write,0.0031728744506835938,8000000,6
,,zarr,4,write,0.014852762222290039,8000000,7
,,hdf,4,write,0.0031058788299560547,8000000,7
,,zarr,4,write,0.009337902069091797,8000000,8
,,hdf,4,write,0.0031795501708984375,8000000,8
,,zarr,4,write,0.014364004135131836,8000000,9
,,hdf,4,write,0.0031478404998779297,8000000,9
,,zarr,4,write,0.009383916854858398,8000000,10
,,hdf,4,write,0.0032203197479248047,8000000,10
,,zarr,4,write,0.014484405517578125,8000000,11
,,hdf,4,write,0.0032858848571777344,8000000,11
,,zarr,4,write,0.009448766708374023,8000000,12
,,hdf,4,write,0.003259897232055664,8000000,12
,,zarr,4,write,0.014368534088134766,8000000,13
,,hdf,4,write,0.0031671524047851562,8000000,13
,,zarr,4,write,0.009256362915039062,8000000,14
,,hdf,4,write,0.003125429153442383,8000000,14
,,zarr,4,write,0.014464139938354492,8000000,15
,,hdf,4,write,0.003098011016845703,8000000,15
,,zarr,4,write,0.009345293045043945,8000000,16
,,hdf,4,write,0.004788398742675781,8000000,16
,,zarr,4,write,0.014411687850952148,8000000,17
,,hdf,4,write,0.003110170364379883,8000000,17
,,zarr,4,write,0.009168148040771484,8000000,18
,,hdf,4,write,0.003195047378540039,8000000,18
,,zarr,4,write,0.014738798141479492,8000000,19
,,hdf,4,write,0.0031816959381103516,8000000,19
,,zarr,4,write,0.009323835372924805,8000000,20
,,hdf,4,write,0.003160238265991211,8000000,20
,,zarr,4,write,0.014395952224731445,8000000,21
,,hdf,4,write,0.0051136016845703125,8000000,21
,,zarr,4,write,0.009217262268066406,8000000,22
,,hdf,4,write,0.0032711029052734375,8000000,22
,,zarr,4,write,0.014498710632324219,8000000,23
,,hdf,4,write,0.003156900405883789,8000000,23
,,zarr,4,write,0.009096860885620117,8000000,24
,,hdf,4,write,0.0031893253326416016,8000000,24
,,zarr,4,write,0.014222383499145508,8000000,25
,,hdf,4,write,0.003144502639770508,8000000,25
,,zarr,4,write,0.009742259979248047,8000000,26
,,hdf,4,write,0.0032012462615966797,8000000,26
,,zarr,4,write,0.014328241348266602,8000000,27
,,hdf,4,write,0.005009174346923828,8000000,27
,,zarr,4,write,0.009183883666992188,8000000,28
,,hdf,4,write,0.003175497055053711,8000000,28
,,zarr,4,write,0.014404773712158203,8000000,29
,,hdf,4,write,0.003233671188354492,8000000,29
,,zarr,4,write,0.008985280990600586,8000000,30
,,hdf,4,write,0.0031523704528808594,8000000,30
,,zarr,4,write,0.014476299285888672,8000000,31
,,hdf,4,write,0.0031478404998779297,8000000,31
,,zarr,4,write,0.009786367416381836,8000000,32
,,hdf,4,write,0.0032558441162109375,8000000,32
,,zarr,4,write,0.014625310897827148,8000000,33
,,hdf,4,write,0.0031905174255371094,8000000,33
,,zarr,4,write,0.009482383728027344,8000000,34
,,hdf,4,write,0.003145456314086914,8000000,34
,,zarr,4,write,0.01472020149230957,8000000,35
,,hdf,4,write,0.0031328201293945312,8000000,35
,,zarr,4,write,0.008980035781860352,8000000,36
,,hdf,4,write,0.0032024383544921875,8000000,36
,,zarr,4,write,0.014109611511230469,8000000,37
,,hdf,4,write,0.0032253265380859375,8000000,37
,,zarr,4,write,0.009190797805786133,8000000,38
,,hdf,4,write,0.0032269954681396484,8000000,38
,,zarr,4,write,0.014151811599731445,8000000,39
,,hdf,4,write,0.003186464309692383,8000000,39
,,zarr,4,write,0.008867979049682617,8000000,40
,,hdf,4,write,0.0031714439392089844,8000000,40
,,zarr,4,write,0.014128923416137695,8000000,41
,,hdf,4,write,0.0032050609588623047,8000000,41
,,zarr,4,write,0.008967399597167969,8000000,42
,,hdf,4,write,0.003169536590576172,8000000,42
,,zarr,4,write,0.014214515686035156,8000000,43
,,hdf,4,write,0.004914999008178711,8000000,43
,,zarr,4,write,0.009043455123901367,8000000,44
,,hdf,4,write,0.0031363964080810547,8000000,44
,,zarr,4,write,0.01430964469909668,8000000,45
,,hdf,4,write,0.0031571388244628906,8000000,45
,,zarr,4,write,0.00927114486694336,8000000,46
,,hdf,4,write,0.003191709518432617,8000000,46
,,zarr,4,write,0.014087677001953125,8000000,47
,,hdf,4,write,0.0032041072845458984,8000000,47
,,zarr,4,write,0.008993864059448242,8000000,48
,,hdf,4,write,0.005017995834350586,8000000,48
,,zarr,4,write,0.014312267303466797,8000000,49
,,hdf,4,write,0.0033109188079833984,8000000,49
,,zarr,4,write,0.009235143661499023,8000000,50
,,hdf,4,write,0.0032312870025634766,8000000,50
,,zarr,4,write,0.014329671859741211,8000000,51
,,hdf,4,write,0.003236055374145508,8000000,51
,,zarr,4,write,0.009181976318359375,8000000,52
