compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,36,write,0.17245984077453613,8000000,0
,,hdf,36,write,0.019595861434936523,8000000,0
,,zarr,36,write,0.06273651123046875,8000000,1
,,hdf,36,write,0.019291400909423828,8000000,1
,,zarr,36,write,0.06787562370300293,8000000,2
,,hdf,36,write,0.01904153823852539,8000000,2
,,zarr,36,write,0.06010603904724121,8000000,3
,,hdf,36,write,0.020152807235717773,8000000,3
,,zarr,36,write,0.06331634521484375,8000000,4
,,hdf,36,write,0.019524812698364258,8000000,4
,,zarr,36,write,0.06743192672729492,8000000,5
,,hdf,36,write,0.026719331741333008,8000000,5
,,zarr,36,write,0.05882763862609863,8000000,6
,,hdf,36,write,0.019675016403198242,8000000,6
,,zarr,36,write,0.06746983528137207,8000000,7
,,hdf,36,write,0.018805503845214844,8000000,7
,,zarr,36,write,0.059540748596191406,8000000,8
,,hdf,36,write,0.0224306583404541,8000000,8
,,zarr,36,write,0.059465885162353516,8000000,9
,,hdf,36,write,0.02151942253112793,8000000,9
,,zarr,36,write,0.060697317123413086,8000000,10
,,hdf,36,write,0.019396543502807617,8000000,10
,,zarr,36,write,0.05723237991333008,8000000,11
,,hdf,36,write,0.021367788314819336,8000000,11
,,zarr,36,write,0.05656099319458008,8000000,12
,,hdf,36,write,0.019557714462280273,8000000,12
,,zarr,36,write,0.06685876846313477,8000000,13
,,hdf,36,write,0.022492408752441406,8000000,13
,,zarr,36,write,0.06683135032653809,8000000,14
,,hdf,36,write,0.022864580154418945,8000000,14
,,zarr,36,write,0.07658553123474121,8000000,15
,,hdf,36,write,0.018873214721679688,8000000,15
,,zarr,36,write,0.07882118225097656,8000000,16
,,hdf,36,write,0.03391385078430176,8000000,16
,,zarr,36,write,0.06345820426940918,8000000,17
,,hdf,36,write,0.04603886604309082,8000000,17
,,zarr,36,write,0.16353225708007812,8000000,18
,,hdf,36,write,0.019074678421020508,8000000,18
,,zarr,36,write,0.07941246032714844,8000000,19
,,hdf,36,write,0.053460121154785156,8000000,19
,,zarr,36,write,0.06284022331237793,8000000,20
,,hdf,36,write,0.03299260139465332,8000000,20
,,zarr,36,write,0.06057095527648926,8000000,21
,,hdf,36,write,0.030420541763305664,8000000,21
,,zarr,36,write,0.059055328369140625,8000000,22
,,hdf,36,write,0.033030033111572266,8000000,22
,,zarr,36,write,0.08524847030639648,8000000,23
,,hdf,36,write,0.12525296211242676,8000000,23
,,zarr,36,write,0.06103873252868652,8000000,24
,,hdf,36,write,0.04091238975524902,8000000,24
,,zarr,36,write,0.07559704780578613,8000000,25
,,hdf,36,write,0.05582475662231445,8000000,25
,,zarr,36,write,0.06633639335632324,8000000,26
,,hdf,36,write,0.025399446487426758,8000000,26
,,zarr,36,write,0.08048582077026367,8000000,27
,,hdf,36,write,0.028001785278320312,8000000,27
,,zarr,36,write,0.07383155822753906,8000000,28
,,hdf,36,write,0.033148765563964844,8000000,28
,,zarr,36,write,0.06973385810852051,8000000,29
,,hdf,36,write,0.03468966484069824,8000000,29
,,zarr,36,write,0.056433677673339844,8000000,30
,,hdf,36,write,0.053879499435424805,8000000,30
,,zarr,36,write,0.05811619758605957,8000000,31
,,hdf,36,write,0.024792909622192383,8000000,31
,,zarr,36,write,0.11552906036376953,8000000,32
,,hdf,36,write,0.0518953800201416,8000000,32
,,zarr,36,write,0.05423617362976074,8000000,33
,,hdf,36,write,0.03407692909240723,8000000,33
,,zarr,36,write,0.05624723434448242,8000000,34
,,hdf,36,write,0.028376340866088867,8000000,34
,,zarr,36,write,0.07125186920166016,8000000,35
,,hdf,36,write,0.041872262954711914,8000000,35
,,zarr,36,write,0.06181025505065918,8000000,36
,,hdf,36,write,0.06302452087402344,8000000,36
,,zarr,36,write,0.06757044792175293,8000000,37
,,hdf,36,write,0.0492405891418457,8000000,37
,,zarr,36,write,0.06253623962402344,8000000,38
,,hdf,36,write,0.031049013137817383,8000000,38
,,zarr,36,write,0.06729888916015625,8000000,39
