compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,72,write,1.2817926406860352,800000,0
,,hdf,72,write,0.38769078254699707,800000,0
,,zarr,72,write,0.5344455242156982,800000,1
,,hdf,72,write,0.2808680534362793,800000,1
,,zarr,72,write,0.5149972438812256,800000,2
,,hdf,72,write,0.21413969993591309,800000,2
,,zarr,72,write,0.5173215866088867,800000,3
,,hdf,72,write,0.33312559127807617,800000,3
,,zarr,72,write,0.5454189777374268,800000,4
,,hdf,72,write,0.06127333641052246,800000,4
,,zarr,72,write,0.5418009757995605,800000,5
,,hdf,72,write,0.17600059509277344,800000,5
,,zarr,72,write,0.5432436466217041,800000,6
,,hdf,72,write,0.23413920402526855,800000,6
,,zarr,72,write,0.544450044631958,800000,7
,,hdf,72,write,0.13500571250915527,800000,7
,,zarr,72,write,0.5516102313995361,800000,8
,,hdf,72,write,0.3520796298980713,800000,8
,,zarr,72,write,0.5405054092407227,800000,9
,,hdf,72,write,0.11755061149597168,800000,9
,,zarr,72,write,0.5721859931945801,800000,10
,,hdf,72,write,0.2615993022918701,800000,10
,,zarr,72,write,0.5597133636474609,800000,11
,,hdf,72,write,0.18314886093139648,800000,11
,,zarr,72,write,0.5657110214233398,800000,12
,,hdf,72,write,0.18629217147827148,800000,12
,,zarr,72,write,0.6152782440185547,800000,13
,,hdf,72,write,0.20373272895812988,800000,13
,,zarr,72,write,0.6091766357421875,800000,14
,,hdf,72,write,0.24085187911987305,800000,14
,,zarr,72,write,0.5314292907714844,800000,15
,,hdf,72,write,0.0902855396270752,800000,15
,,zarr,72,write,0.5271835327148438,800000,16
,,hdf,72,write,0.14049673080444336,800000,16
,,zarr,72,write,0.5743727684020996,800000,17
,,hdf,72,write,0.30971336364746094,800000,17
,,zarr,72,write,0.7354385852813721,800000,18
,,hdf,72,write,0.16185235977172852,800000,18
,,zarr,72,write,0.6094813346862793,800000,19
,,hdf,72,write,0.1425318717956543,800000,19
,,zarr,72,write,0.6318678855895996,800000,20
,,hdf,72,write,0.13576102256774902,800000,20
,,zarr,72,write,0.6244866847991943,800000,21
,,hdf,72,write,0.21029973030090332,800000,21
,,zarr,72,write,0.6882014274597168,800000,22
,,hdf,72,write,0.13923406600952148,800000,22
,,zarr,72,write,0.5628178119659424,800000,23
,,hdf,72,write,0.06191110610961914,800000,23
,,zarr,72,write,0.6029975414276123,800000,24
,,hdf,72,write,0.16576600074768066,800000,24
,,zarr,72,write,0.6555449962615967,800000,25
,,hdf,72,write,0.18376636505126953,800000,25
,,zarr,72,write,0.6696267127990723,800000,26
,,hdf,72,write,0.13653016090393066,800000,26
,,zarr,72,write,0.6398963928222656,800000,27
,,hdf,72,write,0.13182663917541504,800000,27
,,zarr,72,write,0.667945146560669,800000,28
,,hdf,72,write,0.23691701889038086,800000,28
,,zarr,72,write,0.7146520614624023,800000,29
,,hdf,72,write,0.24831318855285645,800000,29
,,zarr,72,write,0.7492966651916504,800000,30
,,hdf,72,write,0.21503353118896484,800000,30
,,zarr,72,write,0.7183516025543213,800000,31
,,hdf,72,write,0.34180617332458496,800000,31
,,zarr,72,write,0.7299997806549072,800000,32
,,hdf,72,write,0.1811056137084961,800000,32
,,zarr,72,write,0.773374080657959,800000,33
,,hdf,72,write,0.338362455368042,800000,33
,,zarr,72,write,0.6321208477020264,800000,34
,,hdf,72,write,0.24113249778747559,800000,34
,,zarr,72,write,0.640486478805542,800000,35
,,hdf,72,write,0.16620826721191406,800000,35
,,zarr,72,write,0.6066434383392334,800000,36
,,hdf,72,write,0.12675166130065918,800000,36
,,zarr,72,write,0.6462280750274658,800000,37
,,hdf,72,write,0.10588383674621582,800000,37
,,zarr,72,write,0.6797454357147217,800000,38
,,hdf,72,write,0.1487889289855957,800000,38
,,zarr,72,write,0.6011767387390137,800000,39
,,hdf,72,write,0.20806145668029785,800000,39
,,zarr,72,write,0.6567320823669434,800000,40
,,hdf,72,write,0.2784872055053711,800000,40
,,zarr,72,write,0.589130163192749,800000,41
,,hdf,72,write,0.2300269603729248,800000,41
,,zarr,72,write,0.6596107482910156,800000,42
,,hdf,72,write,0.10114431381225586,800000,42
,,zarr,72,write,0.6135532855987549,800000,43
,,hdf,72,write,0.2115168571472168,800000,43
,,zarr,72,write,0.7418577671051025,800000,44
,,hdf,72,write,0.371628999710083,800000,44
,,zarr,72,write,0.6632683277130127,800000,45
,,hdf,72,write,0.35340189933776855,800000,45
,,zarr,72,write,0.6409585475921631,800000,46
,,hdf,72,write,0.3522202968597412,800000,46
,,zarr,72,write,0.623105525970459,800000,47
,,hdf,72,write,0.22064542770385742,800000,47
,,zarr,72,write,0.6244604587554932,800000,48
,,hdf,72,write,0.25067687034606934,800000,48
,,zarr,72,write,0.6724283695220947,800000,49
,,hdf,72,write,0.2735321521759033,800000,49
,,zarr,72,write,0.6942200660705566,800000,50
,,hdf,72,write,0.7540626525878906,800000,50
,,zarr,72,write,0.7661972045898438,800000,51
,,hdf,72,write,0.19644784927368164,800000,51
,,zarr,72,write,0.7399873733520508,800000,52
,,hdf,72,write,0.21411848068237305,800000,52
,,zarr,72,write,0.8114275932312012,800000,53
,,hdf,72,write,0.4135758876800537,800000,53
,,zarr,72,write,0.7343580722808838,800000,54
,,hdf,72,write,0.24976158142089844,800000,54
,,zarr,72,write,0.7495465278625488,800000,55
,,hdf,72,write,0.21233916282653809,800000,55
,,zarr,72,write,0.7210068702697754,800000,56
,,hdf,72,write,0.20366263389587402,800000,56
,,zarr,72,write,0.7027313709259033,800000,57
,,hdf,72,write,0.26184606552124023,800000,57
,,zarr,72,write,0.6674401760101318,800000,58
,,hdf,72,write,0.1036679744720459,800000,58
,,zarr,72,write,0.6919057369232178,800000,59
,,hdf,72,write,0.2624480724334717,800000,59
,,zarr,72,write,0.6427664756774902,800000,60
,,hdf,72,write,0.29778027534484863,800000,60
,,zarr,72,write,0.7005071640014648,800000,61
,,hdf,72,write,0.18456721305847168,800000,61
,,zarr,72,write,0.6269266605377197,800000,62
,,hdf,72,write,0.30513525009155273,800000,62
,,zarr,72,write,0.7355563640594482,800000,63
,,hdf,72,write,0.08172798156738281,800000,63
,,zarr,72,write,0.6369333267211914,800000,64
,,hdf,72,write,0.13856768608093262,800000,64
,,zarr,72,write,0.6858608722686768,800000,65
,,hdf,72,write,0.12060213088989258,800000,65
,,zarr,72,write,0.6925415992736816,800000,66
,,hdf,72,write,0.31264615058898926,800000,66
,,zarr,72,write,0.7025594711303711,800000,67
,,hdf,72,write,0.3296535015106201,800000,67
,,zarr,72,write,0.6718580722808838,800000,68
,,hdf,72,write,0.17103219032287598,800000,68
,,zarr,72,write,0.6754171848297119,800000,69
,,hdf,72,write,0.16077828407287598,800000,69
,,zarr,72,write,0.6977429389953613,800000,70
,,hdf,72,write,0.34126925468444824,800000,70
,,zarr,72,write,0.7138428688049316,800000,71
,,hdf,72,write,0.20186901092529297,800000,71
,,zarr,72,write,0.659541130065918,800000,72
,,hdf,72,write,0.2845914363861084,800000,72
,,zarr,72,write,0.7650420665740967,800000,73
,,hdf,72,write,0.27497243881225586,800000,73
,,zarr,72,write,0.7075600624084473,800000,74
,,hdf,72,write,0.23049640655517578,800000,74
,,zarr,72,write,0.7656519412994385,800000,75
,,hdf,72,write,0.235931396484375,800000,75
,,zarr,72,write,0.775763750076294,800000,76
,,hdf,72,write,0.1518714427947998,800000,76
,,zarr,72,write,0.7403249740600586,800000,77
,,hdf,72,write,0.20817017555236816,800000,77
,,zarr,72,write,0.7176954746246338,800000,78
,,hdf,72,write,0.22409844398498535,800000,78
,,zarr,72,write,0.8150506019592285,800000,79
,,hdf,72,write,0.1724851131439209,800000,79
,,zarr,72,write,0.7209160327911377,800000,80
,,hdf,72,write,0.24061298370361328,800000,80
,,zarr,72,write,0.7547216415405273,800000,81
,,hdf,72,write,0.08184432983398438,800000,81
,,zarr,72,write,0.7031300067901611,800000,82
,,hdf,72,write,0.19796395301818848,800000,82
,,zarr,72,write,0.7343113422393799,800000,83
,,hdf,72,write,0.21103644371032715,800000,83
,,zarr,72,write,0.6657521724700928,800000,84
,,hdf,72,write,0.1848752498626709,800000,84
,,zarr,72,write,0.7126955986022949,800000,85
,,hdf,72,write,0.1661052703857422,800000,85
,,zarr,72,write,0.6967246532440186,800000,86
,,hdf,72,write,0.22721266746520996,800000,86
,,zarr,72,write,0.7326185703277588,800000,87
,,hdf,72,write,0.19779205322265625,800000,87
,,zarr,72,write,0.704195499420166,800000,88
,,hdf,72,write,0.2730576992034912,800000,88
,,zarr,72,write,0.7047381401062012,800000,89
,,hdf,72,write,0.17686915397644043,800000,89
,,zarr,72,write,0.7849752902984619,800000,90
,,hdf,72,write,0.2375175952911377,800000,90
,,zarr,72,write,0.7006423473358154,800000,91
,,hdf,72,write,0.15893268585205078,800000,91
,,zarr,72,write,0.6032304763793945,800000,92
,,hdf,72,write,0.1278376579284668,800000,92
,,zarr,72,write,0.6681227684020996,800000,93
,,hdf,72,write,0.1609644889831543,800000,93
,,zarr,72,write,0.7006242275238037,800000,94
,,hdf,72,write,0.22169280052185059,800000,94
,,zarr,72,write,0.7322797775268555,800000,95
,,hdf,72,write,0.12866711616516113,800000,95
,,zarr,72,write,0.8102216720581055,800000,96
,,hdf,72,write,0.17807912826538086,800000,96
,,zarr,72,write,0.708010196685791,800000,97
,,hdf,72,write,0.22456860542297363,800000,97
,,zarr,72,write,0.7449524402618408,800000,98
,,hdf,72,write,0.26781511306762695,800000,98
,,zarr,72,write,0.7331998348236084,800000,99
,,hdf,72,write,0.2623460292816162,800000,99
,,zarr,72,read,0.1130228042602539,800000,0
,,hdf,72,read,0.0746912956237793,800000,0
