compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,False,9,write,0.04813027381896973,4000000,0
,,hdf,,9,write,0.00417017936706543,4000000,0
,,zarr,False,9,write,0.016210317611694336,4000000,1
,,hdf,,9,write,0.0030546188354492188,4000000,1
,,zarr,False,9,write,0.008872747421264648,4000000,2
,,hdf,,9,write,0.0038514137268066406,4000000,2
,,zarr,False,9,write,0.008042573928833008,4000000,3
,,hdf,,9,write,0.0032799243927001953,4000000,3
,,zarr,False,9,write,0.008128643035888672,4000000,4
,,hdf,,9,write,0.0033249855041503906,4000000,4
,,zarr,False,9,write,0.007410287857055664,4000000,5
,,hdf,,9,write,0.0031778812408447266,4000000,5
,,zarr,False,9,write,0.0076410770416259766,4000000,6
,,hdf,,9,write,0.0031850337982177734,4000000,6
,,zarr,False,9,write,0.007860422134399414,4000000,7
,,hdf,,9,write,0.0032761096954345703,4000000,7
,,zarr,False,9,write,0.008040428161621094,4000000,8
,,hdf,,9,write,0.0030939579010009766,4000000,8
,,zarr,False,9,write,0.007661342620849609,4000000,9
,,hdf,,9,write,0.003064870834350586,4000000,9
,,zarr,False,9,write,0.008076906204223633,4000000,10
,,hdf,,9,write,0.0030846595764160156,4000000,10
,,zarr,False,9,write,0.007331132888793945,4000000,11
,,hdf,,9,write,0.0031108856201171875,4000000,11
,,zarr,False,9,write,0.007809877395629883,4000000,12
,,hdf,,9,write,0.003220796585083008,4000000,12
,,zarr,False,9,write,0.008017539978027344,4000000,13
,,hdf,,9,write,0.0031900405883789062,4000000,13
,,zarr,False,9,write,0.007359027862548828,4000000,14
,,hdf,,9,write,0.003173351287841797,4000000,14
,,zarr,False,9,write,0.00782012939453125,4000000,15
,,hdf,,9,write,0.0031011104583740234,4000000,15
,,zarr,False,9,write,0.007636547088623047,4000000,16
,,hdf,,9,write,0.003155946731567383,4000000,16
,,zarr,False,9,write,0.007685184478759766,4000000,17
,,hdf,,9,write,0.003167390823364258,4000000,17
,,zarr,False,9,write,0.007632732391357422,4000000,18
,,hdf,,9,write,0.0031380653381347656,4000000,18
,,zarr,False,9,write,0.12186169624328613,4000000,19
,,hdf,,9,write,0.0031430721282958984,4000000,19
,,zarr,False,9,write,0.08294486999511719,4000000,20
,,hdf,,9,write,0.003165006637573242,4000000,20
,,zarr,False,9,write,0.0075647830963134766,4000000,21
,,hdf,,9,write,0.0031828880310058594,4000000,21
,,zarr,False,9,write,0.007699251174926758,4000000,22
,,hdf,,9,write,0.0031099319458007812,4000000,22
,,zarr,False,9,write,0.007761716842651367,4000000,23
,,hdf,,9,write,0.003131389617919922,4000000,23
,,zarr,False,9,write,0.007837295532226562,4000000,24
,,hdf,,9,write,0.004077434539794922,4000000,24
,,zarr,False,9,write,0.00779271125793457,4000000,25
,,hdf,,9,write,0.003160715103149414,4000000,25
,,zarr,False,9,write,0.00762486457824707,4000000,26
,,hdf,,9,write,0.003123044967651367,4000000,26
,,zarr,False,9,write,0.008199453353881836,4000000,27
,,hdf,,9,write,0.0031671524047851562,4000000,27
,,zarr,False,9,write,0.007837057113647461,4000000,28
,,hdf,,9,write,0.003135204315185547,4000000,28
,,zarr,False,9,write,0.0074193477630615234,4000000,29
,,hdf,,9,write,0.0031075477600097656,4000000,29
,,zarr,False,9,write,0.00762486457824707,4000000,30
,,hdf,,9,write,0.003130674362182617,4000000,30
,,zarr,False,9,write,0.007718563079833984,4000000,31
,,hdf,,9,write,0.004185199737548828,4000000,31
,,zarr,False,9,write,0.007665872573852539,4000000,32
,,hdf,,9,write,0.0031478404998779297,4000000,32
,,zarr,False,9,write,0.007338285446166992,4000000,33
,,hdf,,9,write,0.003240823745727539,4000000,33
,,zarr,False,9,write,0.007457256317138672,4000000,34
,,hdf,,9,write,0.003236532211303711,4000000,34
,,zarr,False,9,write,0.0075647830963134766,4000000,35
,,hdf,,9,write,0.0031671524047851562,4000000,35
,,zarr,False,9,write,0.00777435302734375,4000000,36
,,hdf,,9,write,0.003194570541381836,4000000,36
,,zarr,False,9,write,0.007988691329956055,4000000,37
,,hdf,,9,write,0.0032269954681396484,4000000,37
,,zarr,False,9,write,0.007764339447021484,4000000,38
,,hdf,,9,write,0.003165006637573242,4000000,38
,,zarr,False,9,write,0.007486104965209961,4000000,39
,,hdf,,9,write,0.003178834915161133,4000000,39
,,zarr,False,9,write,0.007676362991333008,4000000,40
,,hdf,,9,write,0.0030667781829833984,4000000,40
,,zarr,False,9,write,0.007750988006591797,4000000,41
,,hdf,,9,write,0.0031385421752929688,4000000,41
,,zarr,False,9,write,0.007741689682006836,4000000,42
,,hdf,,9,write,0.003063201904296875,4000000,42
,,zarr,False,9,write,0.00785684585571289,4000000,43
,,hdf,,9,write,0.0037903785705566406,4000000,43
,,zarr,False,9,write,0.007348299026489258,4000000,44
,,hdf,,9,write,0.0032067298889160156,4000000,44
,,zarr,False,9,write,0.007755756378173828,4000000,45
,,hdf,,9,write,0.0032210350036621094,4000000,45
,,zarr,False,9,write,0.0077707767486572266,4000000,46
,,hdf,,9,write,0.003086090087890625,4000000,46
,,zarr,False,9,write,0.011202335357666016,4000000,47
,,hdf,,9,write,0.003225088119506836,4000000,47
,,zarr,False,9,write,0.007437705993652344,4000000,48
,,hdf,,9,write,0.003169536590576172,4000000,48
,,zarr,False,9,write,0.00766301155090332,4000000,49
,,hdf,,9,write,0.003323793411254883,4000000,49
,,zarr,False,9,write,0.007439136505126953,4000000,50
,,hdf,,9,write,0.003176450729370117,4000000,50
,,zarr,False,9,write,0.0076503753662109375,4000000,51
,,hdf,,9,write,0.0032656192779541016,4000000,51
,,zarr,False,9,write,0.007187366485595703,4000000,52
,,hdf,,9,write,0.003347158432006836,4000000,52
,,zarr,False,9,write,0.007534980773925781,4000000,53
,,hdf,,9,write,0.003159046173095703,4000000,53
,,zarr,False,9,write,0.007690906524658203,4000000,54
,,hdf,,9,write,0.003125905990600586,4000000,54
,,zarr,False,9,write,0.007225990295410156,4000000,55
,,hdf,,9,write,0.003210783004760742,4000000,55
,,zarr,False,9,write,0.007311105728149414,4000000,56
,,hdf,,9,write,0.0033469200134277344,4000000,56
,,zarr,False,9,write,0.010927915573120117,4000000,57
,,hdf,,9,write,0.00420832633972168,4000000,57
,,zarr,False,9,write,0.0073740482330322266,4000000,58
,,hdf,,9,write,0.0038607120513916016,4000000,58
,,zarr,False,9,write,0.007266044616699219,4000000,59
,,hdf,,9,write,0.003915071487426758,4000000,59
,,zarr,False,9,write,0.007379055023193359,4000000,60
,,hdf,,9,write,0.007052898406982422,4000000,60
,,zarr,False,9,write,0.008563995361328125,4000000,61
,,hdf,,9,write,0.0034215450286865234,4000000,61
,,zarr,False,9,write,0.007581233978271484,4000000,62
,,hdf,,9,write,0.008444070816040039,4000000,62
,,zarr,False,9,write,0.007214784622192383,4000000,63
,,hdf,,9,write,0.00696563720703125,4000000,63
,,zarr,False,9,write,0.048746347427368164,4000000,64
,,hdf,,9,write,0.0033555030822753906,4000000,64
,,zarr,False,9,write,0.007322072982788086,4000000,65
,,hdf,,9,write,0.0033636093139648438,4000000,65
,,zarr,False,9,write,0.010549783706665039,4000000,66
,,hdf,,9,write,0.003126382827758789,4000000,66
,,zarr,False,9,write,0.010591983795166016,4000000,67
,,hdf,,9,write,0.003155946731567383,4000000,67
,,zarr,False,9,write,0.011703014373779297,4000000,68
,,hdf,,9,write,0.003141164779663086,4000000,68
,,zarr,False,9,write,0.012948274612426758,4000000,69
,,hdf,,9,write,0.003141641616821289,4000000,69
,,zarr,False,9,write,0.011832475662231445,4000000,70
,,hdf,,9,write,0.0036346912384033203,4000000,70
,,zarr,False,9,write,0.008684158325195312,4000000,71
,,hdf,,9,write,0.021334409713745117,4000000,71
,,zarr,False,9,write,0.010653257369995117,4000000,72
,,hdf,,9,write,0.004705905914306641,4000000,72
,,zarr,False,9,write,0.014562845230102539,4000000,73
,,hdf,,9,write,0.014475345611572266,4000000,73
,,zarr,False,9,write,0.010353565216064453,4000000,74
,,hdf,,9,write,0.005384922027587891,4000000,74
,,zarr,False,9,write,0.007076740264892578,4000000,75
,,hdf,,9,write,0.0034651756286621094,4000000,75
,,zarr,False,9,write,0.007099628448486328,4000000,76
,,hdf,,9,write,0.006474494934082031,4000000,76
,,zarr,False,9,write,0.009232521057128906,4000000,77
,,hdf,,9,write,0.003545522689819336,4000000,77
,,zarr,False,9,write,0.0072667598724365234,4000000,78
,,hdf,,9,write,0.003138303756713867,4000000,78
,,zarr,False,9,write,0.01360774040222168,4000000,79
,,hdf,,9,write,0.004061698913574219,4000000,79
,,zarr,False,9,write,0.011949777603149414,4000000,80
,,hdf,,9,write,0.0031630992889404297,4000000,80
,,zarr,False,9,write,0.010138750076293945,4000000,81
,,hdf,,9,write,0.003175020217895508,4000000,81
,,zarr,False,9,write,0.011252880096435547,4000000,82
,,hdf,,9,write,0.003275632858276367,4000000,82
,,zarr,False,9,write,0.00736236572265625,4000000,83
,,hdf,,9,write,0.032399654388427734,4000000,83
,,zarr,False,9,write,0.011474847793579102,4000000,84
,,hdf,,9,write,0.006186962127685547,4000000,84
,,zarr,False,9,write,0.01039433479309082,4000000,85
,,hdf,,9,write,0.007163047790527344,4000000,85
,,zarr,False,9,write,0.009307384490966797,4000000,86
,,hdf,,9,write,0.0036478042602539062,4000000,86
,,zarr,False,9,write,0.010118961334228516,4000000,87
,,hdf,,9,write,0.005445718765258789,4000000,87
,,zarr,False,9,write,0.009567975997924805,4000000,88
,,hdf,,9,write,0.005420207977294922,4000000,88
,,zarr,False,9,write,0.00970458984375,4000000,89
,,hdf,,9,write,0.003556966781616211,4000000,89
,,zarr,False,9,write,0.00993967056274414,4000000,90
,,hdf,,9,write,0.0035462379455566406,4000000,90
,,zarr,False,9,write,0.009506464004516602,4000000,91
,,hdf,,9,write,0.003887653350830078,4000000,91
,,zarr,False,9,write,0.014257669448852539,4000000,92
,,hdf,,9,write,0.003343820571899414,4000000,92
,,zarr,False,9,write,0.009307146072387695,4000000,93
,,hdf,,9,write,0.004865884780883789,4000000,93
,,zarr,False,9,write,0.00892019271850586,4000000,94
,,hdf,,9,write,0.0034902095794677734,4000000,94
,,zarr,False,9,write,0.00942683219909668,4000000,95
,,hdf,,9,write,0.003462553024291992,4000000,95
,,zarr,False,9,write,0.008956670761108398,4000000,96
