compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,72,write,1.310737133026123,800000,0
,,hdf,72,write,0.03911781311035156,800000,0
,,zarr,72,write,0.5327630043029785,800000,1
,,hdf,72,write,0.0346529483795166,800000,1
,,zarr,72,write,0.46810436248779297,800000,2
,,hdf,72,write,0.07399201393127441,800000,2
,,zarr,72,write,0.5279459953308105,800000,3
,,hdf,72,write,0.34339284896850586,800000,3
,,zarr,72,write,0.5159909725189209,800000,4
,,hdf,72,write,0.10953950881958008,800000,4
,,zarr,72,write,0.5184524059295654,800000,5
,,hdf,72,write,0.09799504280090332,800000,5
,,zarr,72,write,0.5167098045349121,800000,6
,,hdf,72,write,0.09230589866638184,800000,6
,,zarr,72,write,0.5528132915496826,800000,7
,,hdf,72,write,0.051351308822631836,800000,7
,,zarr,72,write,0.5272696018218994,800000,8
,,hdf,72,write,0.19764447212219238,800000,8
,,zarr,72,write,0.5378131866455078,800000,9
,,hdf,72,write,0.029885053634643555,800000,9
,,zarr,72,write,0.46933746337890625,800000,10
,,hdf,72,write,0.045198917388916016,800000,10
,,zarr,72,write,0.5223057270050049,800000,11
,,hdf,72,write,0.026214122772216797,800000,11
,,zarr,72,write,0.5263402462005615,800000,12
,,hdf,72,write,0.06089901924133301,800000,12
,,zarr,72,write,0.5253846645355225,800000,13
,,hdf,72,write,0.028832197189331055,800000,13
,,zarr,72,write,0.5222585201263428,800000,14
,,hdf,72,write,0.06238102912902832,800000,14
,,zarr,72,write,0.5091454982757568,800000,15
,,hdf,72,write,0.08356475830078125,800000,15
,,zarr,72,write,0.5335965156555176,800000,16
,,hdf,72,write,0.032695770263671875,800000,16
,,zarr,72,write,0.5514168739318848,800000,17
,,hdf,72,write,0.05885887145996094,800000,17
,,zarr,72,write,0.5165791511535645,800000,18
,,hdf,72,write,0.02732706069946289,800000,18
,,zarr,72,write,0.5626792907714844,800000,19
,,hdf,72,write,0.03892016410827637,800000,19
,,zarr,72,write,0.5403933525085449,800000,20
,,hdf,72,write,0.02990269660949707,800000,20
,,zarr,72,write,0.5423262119293213,800000,21
,,hdf,72,write,0.0969400405883789,800000,21
,,zarr,72,write,0.5425577163696289,800000,22
,,hdf,72,write,0.07035946846008301,800000,22
,,zarr,72,write,0.5333836078643799,800000,23
,,hdf,72,write,0.05295133590698242,800000,23
,,zarr,72,write,0.5873515605926514,800000,24
,,hdf,72,write,0.09859180450439453,800000,24
,,zarr,72,write,0.7225098609924316,800000,25
,,hdf,72,write,0.11472439765930176,800000,25
,,zarr,72,write,0.5682237148284912,800000,26
,,hdf,72,write,0.12240910530090332,800000,26
,,zarr,72,write,0.6518049240112305,800000,27
,,hdf,72,write,0.03151059150695801,800000,27
,,zarr,72,write,0.594649076461792,800000,28
