compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,True,9,write,0.07099413871765137,4000000,0
,,hdf,,9,write,0.004427909851074219,4000000,0
,,zarr,True,9,write,0.007581949234008789,4000000,1
,,hdf,,9,write,0.003527402877807617,4000000,1
,,zarr,True,9,write,0.01446390151977539,4000000,2
,,hdf,,9,write,0.0034635066986083984,4000000,2
,,zarr,True,9,write,0.01592874526977539,4000000,3
,,hdf,,9,write,0.003604888916015625,4000000,3
,,zarr,True,9,write,0.01565861701965332,4000000,4
,,hdf,,9,write,0.0030939579010009766,4000000,4
,,zarr,True,9,write,0.015508174896240234,4000000,5
,,hdf,,9,write,0.0035169124603271484,4000000,5
,,zarr,True,9,write,0.007973909378051758,4000000,6
,,hdf,,9,write,0.0031654834747314453,4000000,6
,,zarr,True,9,write,0.008044004440307617,4000000,7
,,hdf,,9,write,0.0030889511108398438,4000000,7
,,zarr,True,9,write,0.008324623107910156,4000000,8
,,hdf,,9,write,0.0031321048736572266,4000000,8
,,zarr,True,9,write,0.007912635803222656,4000000,9
,,hdf,,9,write,0.0031125545501708984,4000000,9
,,zarr,True,9,write,0.007982015609741211,4000000,10
,,hdf,,9,write,0.0032346248626708984,4000000,10
,,zarr,True,9,write,0.007814407348632812,4000000,11
,,hdf,,9,write,0.0031206607818603516,4000000,11
,,zarr,True,9,write,0.008638620376586914,4000000,12
,,hdf,,9,write,0.0031044483184814453,4000000,12
,,zarr,True,9,write,0.008026123046875,4000000,13
,,hdf,,9,write,0.0033042430877685547,4000000,13
,,zarr,True,9,write,0.008346319198608398,4000000,14
,,hdf,,9,write,0.0030541419982910156,4000000,14
,,zarr,True,9,write,0.008389949798583984,4000000,15
,,hdf,,9,write,0.0031630992889404297,4000000,15
,,zarr,True,9,write,0.008347749710083008,4000000,16
,,hdf,,9,write,0.0030975341796875,4000000,16
,,zarr,True,9,write,0.008382558822631836,4000000,17
,,hdf,,9,write,0.0032122135162353516,4000000,17
,,zarr,True,9,write,0.008093833923339844,4000000,18
,,hdf,,9,write,0.003055572509765625,4000000,18
,,zarr,True,9,write,0.007783174514770508,4000000,19
,,hdf,,9,write,0.003954648971557617,4000000,19
,,zarr,True,9,write,0.008069992065429688,4000000,20
,,hdf,,9,write,0.003103971481323242,4000000,20
,,zarr,True,9,write,0.007895708084106445,4000000,21
,,hdf,,9,write,0.004160881042480469,4000000,21
,,zarr,True,9,write,0.008537769317626953,4000000,22
,,hdf,,9,write,0.0036749839782714844,4000000,22
,,zarr,True,9,write,0.008093118667602539,4000000,23
,,hdf,,9,write,0.0031135082244873047,4000000,23
,,zarr,True,9,write,0.0080413818359375,4000000,24
,,hdf,,9,write,0.003261566162109375,4000000,24
,,zarr,True,9,write,0.007637739181518555,4000000,25
,,hdf,,9,write,0.003213644027709961,4000000,25
,,zarr,True,9,write,0.008230447769165039,4000000,26
,,hdf,,9,write,0.003139019012451172,4000000,26
,,zarr,True,9,write,0.008095502853393555,4000000,27
,,hdf,,9,write,0.0030972957611083984,4000000,27
,,zarr,True,9,write,0.008223772048950195,4000000,28
,,hdf,,9,write,0.0033767223358154297,4000000,28
,,zarr,True,9,write,0.008909463882446289,4000000,29
,,hdf,,9,write,0.003144979476928711,4000000,29
,,zarr,True,9,write,0.007956743240356445,4000000,30
,,hdf,,9,write,0.0031261444091796875,4000000,30
,,zarr,True,9,write,0.007834672927856445,4000000,31
,,hdf,,9,write,0.003355741500854492,4000000,31
,,zarr,True,9,write,0.007966279983520508,4000000,32
,,hdf,,9,write,0.003100872039794922,4000000,32
,,zarr,True,9,write,0.007781982421875,4000000,33
,,hdf,,9,write,0.0031354427337646484,4000000,33
,,zarr,True,9,write,0.007830142974853516,4000000,34
,,hdf,,9,write,0.0032112598419189453,4000000,34
,,zarr,True,9,write,0.00823068618774414,4000000,35
,,hdf,,9,write,0.0031480789184570312,4000000,35
,,zarr,True,9,write,0.008265256881713867,4000000,36
,,hdf,,9,write,0.0031723976135253906,4000000,36
,,zarr,True,9,write,0.007816791534423828,4000000,37
,,hdf,,9,write,0.0031728744506835938,4000000,37
,,zarr,True,9,write,0.007993936538696289,4000000,38
,,hdf,,9,write,0.003329753875732422,4000000,38
,,zarr,True,9,write,0.008572816848754883,4000000,39
,,hdf,,9,write,0.003168344497680664,4000000,39
,,zarr,True,9,write,0.007869482040405273,4000000,40
,,hdf,,9,write,0.003148794174194336,4000000,40
,,zarr,True,9,write,0.00768280029296875,4000000,41
,,hdf,,9,write,0.0030982494354248047,4000000,41
,,zarr,True,9,write,0.008302688598632812,4000000,42
,,hdf,,9,write,0.003246784210205078,4000000,42
,,zarr,True,9,write,0.00837850570678711,4000000,43
,,hdf,,9,write,0.0031142234802246094,4000000,43
,,zarr,True,9,write,0.008220195770263672,4000000,44
,,hdf,,9,write,0.003155231475830078,4000000,44
,,zarr,True,9,write,0.00823068618774414,4000000,45
,,hdf,,9,write,0.0032923221588134766,4000000,45
,,zarr,True,9,write,0.007337808609008789,4000000,46
,,hdf,,9,write,0.003184795379638672,4000000,46
,,zarr,True,9,write,0.008007526397705078,4000000,47
,,hdf,,9,write,0.0037059783935546875,4000000,47
,,zarr,True,9,write,0.00751185417175293,4000000,48
,,hdf,,9,write,0.005003690719604492,4000000,48
,,zarr,True,9,write,0.007697343826293945,4000000,49
,,hdf,,9,write,0.0031518936157226562,4000000,49
,,zarr,True,9,write,0.03307056427001953,4000000,50
,,hdf,,9,write,0.0032515525817871094,4000000,50
,,zarr,True,9,write,0.007422685623168945,4000000,51
,,hdf,,9,write,0.003152132034301758,4000000,51
,,zarr,True,9,write,0.00767970085144043,4000000,52
,,hdf,,9,write,0.0032193660736083984,4000000,52
,,zarr,True,9,write,0.007467985153198242,4000000,53
,,hdf,,9,write,0.0032188892364501953,4000000,53
,,zarr,True,9,write,0.0076258182525634766,4000000,54
,,hdf,,9,write,0.0032203197479248047,4000000,54
,,zarr,True,9,write,0.0076296329498291016,4000000,55
,,hdf,,9,write,0.0033233165740966797,4000000,55
,,zarr,True,9,write,0.007605075836181641,4000000,56
,,hdf,,9,write,0.003214597702026367,4000000,56
,,zarr,True,9,write,0.007401704788208008,4000000,57
,,hdf,,9,write,0.0037703514099121094,4000000,57
,,zarr,True,9,write,0.007703065872192383,4000000,58
,,hdf,,9,write,0.003823995590209961,4000000,58
,,zarr,True,9,write,0.0076751708984375,4000000,59
,,hdf,,9,write,0.0036363601684570312,4000000,59
,,zarr,True,9,write,0.028362274169921875,4000000,60
,,hdf,,9,write,0.02537679672241211,4000000,60
,,zarr,True,9,write,0.007239341735839844,4000000,61
,,hdf,,9,write,0.004889965057373047,4000000,61
,,zarr,True,9,write,0.007649660110473633,4000000,62
,,hdf,,9,write,0.0056056976318359375,4000000,62
,,zarr,True,9,write,0.0072743892669677734,4000000,63
,,hdf,,9,write,0.004608631134033203,4000000,63
,,zarr,True,9,write,0.007344722747802734,4000000,64
,,hdf,,9,write,0.0033495426177978516,4000000,64
,,zarr,True,9,write,0.007477283477783203,4000000,65
,,hdf,,9,write,0.0031931400299072266,4000000,65
,,zarr,True,9,write,0.0074443817138671875,4000000,66
,,hdf,,9,write,0.0033919811248779297,4000000,66
,,zarr,True,9,write,0.010611534118652344,4000000,67
,,hdf,,9,write,0.004902839660644531,4000000,67
,,zarr,True,9,write,0.007698774337768555,4000000,68
,,hdf,,9,write,0.003147125244140625,4000000,68
,,zarr,True,9,write,0.0073735713958740234,4000000,69
,,hdf,,9,write,0.0033097267150878906,4000000,69
,,zarr,True,9,write,0.00752568244934082,4000000,70
,,hdf,,9,write,0.0034635066986083984,4000000,70
,,zarr,True,9,write,0.00922703742980957,4000000,71
,,hdf,,9,write,0.0036590099334716797,4000000,71
,,zarr,True,9,write,0.008325338363647461,4000000,72
,,hdf,,9,write,0.004613399505615234,4000000,72
,,zarr,True,9,write,0.00906229019165039,4000000,73
,,hdf,,9,write,0.005765438079833984,4000000,73
,,zarr,True,9,write,0.007824182510375977,4000000,74
,,hdf,,9,write,0.004774808883666992,4000000,74
,,zarr,True,9,write,0.007379293441772461,4000000,75
,,hdf,,9,write,0.005645751953125,4000000,75
