compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,False,18,write,2.5041749477386475,4000000,0
,,hdf,,18,write,0.009357690811157227,4000000,0
,,zarr,False,18,write,0.956657886505127,4000000,1
,,hdf,,18,write,0.04785966873168945,4000000,1
,,zarr,False,18,write,0.9639377593994141,4000000,2
,,hdf,,18,write,0.061281681060791016,4000000,2
,,zarr,False,18,write,1.0451905727386475,4000000,3
,,hdf,,18,write,0.015563488006591797,4000000,3
,,zarr,False,18,write,0.9850172996520996,4000000,4
,,hdf,,18,write,0.03336024284362793,4000000,4
,,zarr,False,18,write,1.0351696014404297,4000000,5
,,hdf,,18,write,0.057108402252197266,4000000,5
,,zarr,False,18,write,1.0059258937835693,4000000,6
,,hdf,,18,write,0.044235944747924805,4000000,6
,,zarr,False,18,write,0.9639506340026855,4000000,7
,,hdf,,18,write,0.031479835510253906,4000000,7
,,zarr,False,18,write,0.9996836185455322,4000000,8
,,hdf,,18,write,0.052778005599975586,4000000,8
,,zarr,False,18,write,0.9640235900878906,4000000,9
,,hdf,,18,write,0.11928009986877441,4000000,9
,,zarr,False,18,write,0.9344463348388672,4000000,10
,,hdf,,18,write,0.027945280075073242,4000000,10
,,zarr,False,18,write,0.9831304550170898,4000000,11
,,hdf,,18,write,0.010793447494506836,4000000,11
,,zarr,False,18,write,1.0384209156036377,4000000,12
,,hdf,,18,write,0.31974291801452637,4000000,12
,,zarr,False,18,write,0.9742875099182129,4000000,13
,,hdf,,18,write,0.04772663116455078,4000000,13
,,zarr,False,18,write,0.9558749198913574,4000000,14
,,hdf,,18,write,0.03605151176452637,4000000,14
,,zarr,False,18,write,0.9435880184173584,4000000,15
,,hdf,,18,write,0.040106773376464844,4000000,15
,,zarr,False,18,write,0.9531683921813965,4000000,16
,,hdf,,18,write,0.026256084442138672,4000000,16
,,zarr,False,18,write,0.9277744293212891,4000000,17
,,hdf,,18,write,0.016344308853149414,4000000,17
,,zarr,False,18,write,0.9310135841369629,4000000,18
,,hdf,,18,write,0.07034492492675781,4000000,18
,,zarr,False,18,write,0.9608876705169678,4000000,19
,,hdf,,18,write,0.030464887619018555,4000000,19
,,zarr,False,18,write,0.9996869564056396,4000000,20
,,hdf,,18,write,0.02087116241455078,4000000,20
,,zarr,False,18,write,0.9533882141113281,4000000,21
,,hdf,,18,write,0.0771017074584961,4000000,21
,,zarr,False,18,write,0.9960763454437256,4000000,22
,,hdf,,18,write,0.04354286193847656,4000000,22
,,zarr,False,18,write,1.045623540878296,4000000,23
,,hdf,,18,write,0.037027597427368164,4000000,23
,,zarr,False,18,write,0.9741151332855225,4000000,24
,,hdf,,18,write,0.08520865440368652,4000000,24
,,zarr,False,18,write,1.0065808296203613,4000000,25
,,hdf,,18,write,0.06040382385253906,4000000,25
,,zarr,False,18,write,0.9706308841705322,4000000,26
,,hdf,,18,write,0.018293142318725586,4000000,26
,,zarr,False,18,write,0.9501698017120361,4000000,27
,,hdf,,18,write,0.01589059829711914,4000000,27
,,zarr,False,18,write,0.9915757179260254,4000000,28
,,hdf,,18,write,0.058851003646850586,4000000,28
,,zarr,False,18,write,0.9785499572753906,4000000,29
,,hdf,,18,write,0.0151214599609375,4000000,29
,,zarr,False,18,write,0.9615039825439453,4000000,30
,,hdf,,18,write,0.04446673393249512,4000000,30
,,zarr,False,18,write,0.8809053897857666,4000000,31
,,hdf,,18,write,0.05860590934753418,4000000,31
,,zarr,False,18,write,1.014115810394287,4000000,32
,,hdf,,18,write,0.03657793998718262,4000000,32
,,zarr,False,18,write,0.953399658203125,4000000,33
,,hdf,,18,write,0.03470921516418457,4000000,33
,,zarr,False,18,write,0.9043667316436768,4000000,34
,,hdf,,18,write,0.10419583320617676,4000000,34
,,zarr,False,18,write,1.0328238010406494,4000000,35
,,hdf,,18,write,0.03854107856750488,4000000,35
,,zarr,False,18,write,0.9769792556762695,4000000,36
,,hdf,,18,write,0.03909635543823242,4000000,36
,,zarr,False,18,write,0.9828782081604004,4000000,37
,,hdf,,18,write,0.0692446231842041,4000000,37
,,zarr,False,18,write,1.0047082901000977,4000000,38
,,hdf,,18,write,0.06524825096130371,4000000,38
,,zarr,False,18,write,0.9324634075164795,4000000,39
,,hdf,,18,write,0.08569121360778809,4000000,39
,,zarr,False,18,write,0.9200770854949951,4000000,40
,,hdf,,18,write,0.06882357597351074,4000000,40
,,zarr,False,18,write,0.9638726711273193,4000000,41
,,hdf,,18,write,0.020389556884765625,4000000,41
,,zarr,False,18,write,0.9416086673736572,4000000,42
,,hdf,,18,write,0.017961978912353516,4000000,42
,,zarr,False,18,write,0.9164528846740723,4000000,43
,,hdf,,18,write,0.04284048080444336,4000000,43
,,zarr,False,18,write,1.0055501461029053,4000000,44
,,hdf,,18,write,0.10748982429504395,4000000,44
,,zarr,False,18,write,0.9852855205535889,4000000,45
,,hdf,,18,write,0.04033851623535156,4000000,45
,,zarr,False,18,write,0.9745934009552002,4000000,46
,,hdf,,18,write,0.05545449256896973,4000000,46
,,zarr,False,18,write,1.0404863357543945,4000000,47
,,hdf,,18,write,0.05904245376586914,4000000,47
,,zarr,False,18,write,1.0067038536071777,4000000,48
,,hdf,,18,write,0.033316612243652344,4000000,48
,,zarr,False,18,write,0.9888050556182861,4000000,49
,,hdf,,18,write,0.06730031967163086,4000000,49
,,zarr,False,18,write,0.9279203414916992,4000000,50
,,hdf,,18,write,0.10937952995300293,4000000,50
,,zarr,False,18,write,0.9524276256561279,4000000,51
,,hdf,,18,write,0.025140762329101562,4000000,51
,,zarr,False,18,write,0.9142019748687744,4000000,52
,,hdf,,18,write,0.03555417060852051,4000000,52
,,zarr,False,18,write,0.9933209419250488,4000000,53
,,hdf,,18,write,0.08346796035766602,4000000,53
,,zarr,False,18,write,0.8974447250366211,4000000,54
,,hdf,,18,write,0.03378009796142578,4000000,54
,,zarr,False,18,write,0.9133415222167969,4000000,55
,,hdf,,18,write,0.041735172271728516,4000000,55
,,zarr,False,18,write,1.000333547592163,4000000,56
,,hdf,,18,write,0.07045888900756836,4000000,56
,,zarr,False,18,write,0.8979804515838623,4000000,57
,,hdf,,18,write,0.09319663047790527,4000000,57
,,zarr,False,18,write,0.986328125,4000000,58
,,hdf,,18,write,0.045770883560180664,4000000,58
,,zarr,False,18,write,1.0455992221832275,4000000,59
,,hdf,,18,write,0.04204392433166504,4000000,59
,,zarr,False,18,write,0.9416921138763428,4000000,60
,,hdf,,18,write,0.03261709213256836,4000000,60
,,zarr,False,18,write,0.9809823036193848,4000000,61
,,hdf,,18,write,0.0234682559967041,4000000,61
,,zarr,False,18,write,0.9594402313232422,4000000,62
,,hdf,,18,write,0.011079072952270508,4000000,62
,,zarr,False,18,write,0.9120063781738281,4000000,63
,,hdf,,18,write,0.04124784469604492,4000000,63
,,zarr,False,18,write,0.8682842254638672,4000000,64
,,hdf,,18,write,0.03363323211669922,4000000,64
,,zarr,False,18,write,1.0124363899230957,4000000,65
,,hdf,,18,write,0.046791791915893555,4000000,65
,,zarr,False,18,write,0.9899711608886719,4000000,66
,,hdf,,18,write,0.05898642539978027,4000000,66
,,zarr,False,18,write,0.9506814479827881,4000000,67
,,hdf,,18,write,0.04378390312194824,4000000,67
,,zarr,False,18,write,0.9567427635192871,4000000,68
,,hdf,,18,write,0.06678462028503418,4000000,68
,,zarr,False,18,write,0.9863076210021973,4000000,69
,,hdf,,18,write,0.05645346641540527,4000000,69
,,zarr,False,18,write,0.9618926048278809,4000000,70
,,hdf,,18,write,0.08261227607727051,4000000,70
,,zarr,False,18,write,0.9957211017608643,4000000,71
,,hdf,,18,write,0.04085135459899902,4000000,71
,,zarr,False,18,write,0.9352014064788818,4000000,72
,,hdf,,18,write,0.06975364685058594,4000000,72
,,zarr,False,18,write,0.9520678520202637,4000000,73
,,hdf,,18,write,0.040456533432006836,4000000,73
,,zarr,False,18,write,1.0193073749542236,4000000,74
,,hdf,,18,write,0.03578805923461914,4000000,74
,,zarr,False,18,write,0.985792875289917,4000000,75
,,hdf,,18,write,0.09262633323669434,4000000,75
,,zarr,False,18,write,0.9690184593200684,4000000,76
,,hdf,,18,write,0.035393476486206055,4000000,76
,,zarr,False,18,write,0.9429423809051514,4000000,77
,,hdf,,18,write,0.027700424194335938,4000000,77
,,zarr,False,18,write,1.0463414192199707,4000000,78
,,hdf,,18,write,0.08431482315063477,4000000,78
,,zarr,False,18,write,0.9666221141815186,4000000,79
,,hdf,,18,write,0.06211519241333008,4000000,79
,,zarr,False,18,write,0.8956513404846191,4000000,80
,,hdf,,18,write,0.04133248329162598,4000000,80
,,zarr,False,18,write,0.8478374481201172,4000000,81
,,hdf,,18,write,0.061031341552734375,4000000,81
,,zarr,False,18,write,0.9742176532745361,4000000,82
,,hdf,,18,write,0.05548381805419922,4000000,82
,,zarr,False,18,write,0.960334062576294,4000000,83
,,hdf,,18,write,0.04082012176513672,4000000,83
,,zarr,False,18,write,1.0489649772644043,4000000,84
,,hdf,,18,write,0.047097206115722656,4000000,84
,,zarr,False,18,write,0.9917318820953369,4000000,85
,,hdf,,18,write,0.06824374198913574,4000000,85
,,zarr,False,18,write,0.9338557720184326,4000000,86
,,hdf,,18,write,0.07865715026855469,4000000,86
,,zarr,False,18,write,0.9353609085083008,4000000,87
,,hdf,,18,write,0.06013655662536621,4000000,87
,,zarr,False,18,write,0.8881652355194092,4000000,88
,,hdf,,18,write,0.06498599052429199,4000000,88
,,zarr,False,18,write,0.9537644386291504,4000000,89
,,hdf,,18,write,0.04229140281677246,4000000,89
,,zarr,False,18,write,0.8800485134124756,4000000,90
,,hdf,,18,write,0.025964736938476562,4000000,90
