compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,True,36,write,1.959296464920044,4000000,0
,,hdf,,36,write,0.02986621856689453,4000000,0
,,zarr,True,36,write,1.0977294445037842,4000000,1
,,hdf,,36,write,0.0502471923828125,4000000,1
,,zarr,True,36,write,1.042966604232788,4000000,2
,,hdf,,36,write,0.07976126670837402,4000000,2
,,zarr,True,36,write,1.0177006721496582,4000000,3
,,hdf,,36,write,0.09654569625854492,4000000,3
,,zarr,True,36,write,1.0883305072784424,4000000,4
,,hdf,,36,write,0.07637310028076172,4000000,4
,,zarr,True,36,write,1.022752285003662,4000000,5
,,hdf,,36,write,0.11527204513549805,4000000,5
,,zarr,True,36,write,0.9843604564666748,4000000,6
,,hdf,,36,write,0.10280513763427734,4000000,6
,,zarr,True,36,write,0.9608607292175293,4000000,7
,,hdf,,36,write,0.12811779975891113,4000000,7
,,zarr,True,36,write,1.0131666660308838,4000000,8
,,hdf,,36,write,0.08625149726867676,4000000,8
,,zarr,True,36,write,0.9842736721038818,4000000,9
,,hdf,,36,write,0.03330588340759277,4000000,9
,,zarr,True,36,write,1.0362961292266846,4000000,10
,,hdf,,36,write,0.07557058334350586,4000000,10
,,zarr,True,36,write,1.0702919960021973,4000000,11
,,hdf,,36,write,0.05613303184509277,4000000,11
,,zarr,True,36,write,0.9719297885894775,4000000,12
,,hdf,,36,write,0.0907280445098877,4000000,12
,,zarr,True,36,write,1.0123488903045654,4000000,13
,,hdf,,36,write,0.10109162330627441,4000000,13
,,zarr,True,36,write,0.9424355030059814,4000000,14
,,hdf,,36,write,0.10115790367126465,4000000,14
,,zarr,True,36,write,0.9656567573547363,4000000,15
,,hdf,,36,write,0.04810070991516113,4000000,15
,,zarr,True,36,write,1.0093910694122314,4000000,16
,,hdf,,36,write,0.08153295516967773,4000000,16
,,zarr,True,36,write,1.124880313873291,4000000,17
,,hdf,,36,write,0.08006501197814941,4000000,17
,,zarr,True,36,write,1.0005607604980469,4000000,18
,,hdf,,36,write,0.06295943260192871,4000000,18
,,zarr,True,36,write,0.9929201602935791,4000000,19
,,hdf,,36,write,0.07423806190490723,4000000,19
,,zarr,True,36,write,0.9952847957611084,4000000,20
,,hdf,,36,write,0.07821941375732422,4000000,20
,,zarr,True,36,write,1.0158984661102295,4000000,21
,,hdf,,36,write,0.06482481956481934,4000000,21
,,zarr,True,36,write,0.9827373027801514,4000000,22
,,hdf,,36,write,0.07887434959411621,4000000,22
,,zarr,True,36,write,1.0876855850219727,4000000,23
,,hdf,,36,write,0.06937384605407715,4000000,23
,,zarr,True,36,write,1.0843627452850342,4000000,24
,,hdf,,36,write,0.05267143249511719,4000000,24
,,zarr,True,36,write,0.9728825092315674,4000000,25
,,hdf,,36,write,0.07877087593078613,4000000,25
,,zarr,True,36,write,0.9530909061431885,4000000,26
,,hdf,,36,write,0.03401803970336914,4000000,26
,,zarr,True,36,write,0.9349780082702637,4000000,27
,,hdf,,36,write,0.06869935989379883,4000000,27
,,zarr,True,36,write,0.9411354064941406,4000000,28
,,hdf,,36,write,0.06175732612609863,4000000,28
,,zarr,True,36,write,1.007460355758667,4000000,29
,,hdf,,36,write,0.053192853927612305,4000000,29
,,zarr,True,36,write,0.9582440853118896,4000000,30
,,hdf,,36,write,0.0656595230102539,4000000,30
,,zarr,True,36,write,0.9529552459716797,4000000,31
,,hdf,,36,write,0.1468665599822998,4000000,31
,,zarr,True,36,write,1.0312566757202148,4000000,32
,,hdf,,36,write,0.10857915878295898,4000000,32
,,zarr,True,36,write,0.9907882213592529,4000000,33
,,hdf,,36,write,0.0721597671508789,4000000,33
,,zarr,True,36,write,1.1005117893218994,4000000,34
,,hdf,,36,write,0.07349491119384766,4000000,34
,,zarr,True,36,write,1.0071535110473633,4000000,35
,,hdf,,36,write,0.0861814022064209,4000000,35
,,zarr,True,36,write,1.0662915706634521,4000000,36
,,hdf,,36,write,0.09371733665466309,4000000,36
,,zarr,True,36,write,1.0662927627563477,4000000,37
,,hdf,,36,write,0.09701681137084961,4000000,37
,,zarr,True,36,write,0.9392318725585938,4000000,38
,,hdf,,36,write,0.07438921928405762,4000000,38
,,zarr,True,36,write,1.0357820987701416,4000000,39
,,hdf,,36,write,0.08343148231506348,4000000,39
,,zarr,True,36,write,0.9897515773773193,4000000,40
,,hdf,,36,write,0.1024770736694336,4000000,40
,,zarr,True,36,write,0.9750707149505615,4000000,41
,,hdf,,36,write,0.06712675094604492,4000000,41
,,zarr,True,36,write,1.0425536632537842,4000000,42
,,hdf,,36,write,0.06125640869140625,4000000,42
,,zarr,True,36,write,0.9881954193115234,4000000,43
,,hdf,,36,write,0.0712437629699707,4000000,43
,,zarr,True,36,write,1.005262851715088,4000000,44
,,hdf,,36,write,0.07891559600830078,4000000,44
,,zarr,True,36,write,0.9804847240447998,4000000,45
,,hdf,,36,write,0.06583452224731445,4000000,45
,,zarr,True,36,write,1.0327496528625488,4000000,46
,,hdf,,36,write,0.08263683319091797,4000000,46
,,zarr,True,36,write,1.0157253742218018,4000000,47
,,hdf,,36,write,0.06892991065979004,4000000,47
,,zarr,True,36,write,1.0041263103485107,4000000,48
,,hdf,,36,write,0.08536362648010254,4000000,48
,,zarr,True,36,write,0.997725248336792,4000000,49
,,hdf,,36,write,0.1329193115234375,4000000,49
,,zarr,True,36,write,0.9889802932739258,4000000,50
,,hdf,,36,write,0.05343031883239746,4000000,50
,,zarr,True,36,write,1.031855821609497,4000000,51
,,hdf,,36,write,0.06721305847167969,4000000,51
,,zarr,True,36,write,1.0526423454284668,4000000,52
,,hdf,,36,write,0.10256171226501465,4000000,52
,,zarr,True,36,write,0.9394791126251221,4000000,53
,,hdf,,36,write,0.06459522247314453,4000000,53
,,zarr,True,36,write,1.0604276657104492,4000000,54
,,hdf,,36,write,0.09115958213806152,4000000,54
,,zarr,True,36,write,1.0297434329986572,4000000,55
,,hdf,,36,write,0.060227155685424805,4000000,55
,,zarr,True,36,write,0.9746890068054199,4000000,56
,,hdf,,36,write,0.07060742378234863,4000000,56
