compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,True,18,write,1.4232003688812256,4000000,0
,,hdf,,18,write,0.5746650695800781,4000000,0
,,zarr,True,18,write,0.979381799697876,4000000,1
,,hdf,,18,write,0.07375669479370117,4000000,1
,,zarr,True,18,write,1.021552324295044,4000000,2
,,hdf,,18,write,0.1008596420288086,4000000,2
,,zarr,True,18,write,1.0139436721801758,4000000,3
,,hdf,,18,write,0.02850198745727539,4000000,3
,,zarr,True,18,write,0.8918976783752441,4000000,4
,,hdf,,18,write,0.02524089813232422,4000000,4
,,zarr,True,18,write,0.8871452808380127,4000000,5
,,hdf,,18,write,0.04282879829406738,4000000,5
,,zarr,True,18,write,0.9701333045959473,4000000,6
,,hdf,,18,write,0.1099710464477539,4000000,6
,,zarr,True,18,write,0.9024641513824463,4000000,7
,,hdf,,18,write,0.03746604919433594,4000000,7
,,zarr,True,18,write,0.9408018589019775,4000000,8
,,hdf,,18,write,0.08546876907348633,4000000,8
,,zarr,True,18,write,0.9741957187652588,4000000,9
,,hdf,,18,write,0.06900548934936523,4000000,9
,,zarr,True,18,write,0.9775118827819824,4000000,10
,,hdf,,18,write,0.03965044021606445,4000000,10
,,zarr,True,18,write,0.9867768287658691,4000000,11
,,hdf,,18,write,0.03680706024169922,4000000,11
,,zarr,True,18,write,1.0039124488830566,4000000,12
,,hdf,,18,write,0.04767036437988281,4000000,12
,,zarr,True,18,write,0.9956233501434326,4000000,13
,,hdf,,18,write,0.04059576988220215,4000000,13
,,zarr,True,18,write,0.9294643402099609,4000000,14
,,hdf,,18,write,0.4486503601074219,4000000,14
,,zarr,True,18,write,1.0082168579101562,4000000,15
,,hdf,,18,write,0.08495473861694336,4000000,15
,,zarr,True,18,write,0.9997801780700684,4000000,16
,,hdf,,18,write,0.04772472381591797,4000000,16
,,zarr,True,18,write,0.9131543636322021,4000000,17
,,hdf,,18,write,0.03621649742126465,4000000,17
,,zarr,True,18,write,0.9517555236816406,4000000,18
,,hdf,,18,write,0.06428003311157227,4000000,18
,,zarr,True,18,write,1.0002846717834473,4000000,19
,,hdf,,18,write,0.033386945724487305,4000000,19
,,zarr,True,18,write,0.9823641777038574,4000000,20
,,hdf,,18,write,0.03343772888183594,4000000,20
,,zarr,True,18,write,1.0332908630371094,4000000,21
,,hdf,,18,write,0.09992671012878418,4000000,21
,,zarr,True,18,write,1.0055408477783203,4000000,22
,,hdf,,18,write,0.03303217887878418,4000000,22
,,zarr,True,18,write,0.9348642826080322,4000000,23
,,hdf,,18,write,0.0363469123840332,4000000,23
,,zarr,True,18,write,0.968217134475708,4000000,24
,,hdf,,18,write,0.01693439483642578,4000000,24
,,zarr,True,18,write,0.8708810806274414,4000000,25
,,hdf,,18,write,0.08442997932434082,4000000,25
,,zarr,True,18,write,0.9121012687683105,4000000,26
,,hdf,,18,write,0.06275391578674316,4000000,26
,,zarr,True,18,write,0.9916675090789795,4000000,27
,,hdf,,18,write,0.04735612869262695,4000000,27
,,zarr,True,18,write,0.9436771869659424,4000000,28
,,hdf,,18,write,0.10275435447692871,4000000,28
,,zarr,True,18,write,0.9341161251068115,4000000,29
,,hdf,,18,write,0.03116774559020996,4000000,29
,,zarr,True,18,write,0.9857378005981445,4000000,30
,,hdf,,18,write,0.03746843338012695,4000000,30
,,zarr,True,18,write,0.8950719833374023,4000000,31
,,hdf,,18,write,0.07030773162841797,4000000,31
,,zarr,True,18,write,1.0142784118652344,4000000,32
,,hdf,,18,write,0.04160928726196289,4000000,32
,,zarr,True,18,write,0.876162052154541,4000000,33
,,hdf,,18,write,0.03714942932128906,4000000,33
,,zarr,True,18,write,0.9521033763885498,4000000,34
,,hdf,,18,write,0.0820775032043457,4000000,34
,,zarr,True,18,write,1.0051038265228271,4000000,35
,,hdf,,18,write,0.05598711967468262,4000000,35
,,zarr,True,18,write,0.9682927131652832,4000000,36
,,hdf,,18,write,0.03164315223693848,4000000,36
,,zarr,True,18,write,0.947857141494751,4000000,37
,,hdf,,18,write,0.07689738273620605,4000000,37
,,zarr,True,18,write,0.9199199676513672,4000000,38
,,hdf,,18,write,0.03861427307128906,4000000,38
,,zarr,True,18,write,0.8904492855072021,4000000,39
,,hdf,,18,write,0.03723478317260742,4000000,39
,,zarr,True,18,write,0.9467763900756836,4000000,40
,,hdf,,18,write,0.035379886627197266,4000000,40
,,zarr,True,18,write,0.8885006904602051,4000000,41
,,hdf,,18,write,0.07130217552185059,4000000,41
,,zarr,True,18,write,0.9091460704803467,4000000,42
,,hdf,,18,write,0.04251503944396973,4000000,42
,,zarr,True,18,write,0.9631145000457764,4000000,43
,,hdf,,18,write,0.04146909713745117,4000000,43
,,zarr,True,18,write,0.9195208549499512,4000000,44
,,hdf,,18,write,0.09850692749023438,4000000,44
,,zarr,True,18,write,0.9394891262054443,4000000,45
,,hdf,,18,write,0.04086637496948242,4000000,45
,,zarr,True,18,write,0.9211347103118896,4000000,46
,,hdf,,18,write,0.09452033042907715,4000000,46
,,zarr,True,18,write,0.9392414093017578,4000000,47
,,hdf,,18,write,0.07696104049682617,4000000,47
,,zarr,True,18,write,0.9501895904541016,4000000,48
,,hdf,,18,write,0.02722311019897461,4000000,48
,,zarr,True,18,write,0.9913718700408936,4000000,49
,,hdf,,18,write,0.0584712028503418,4000000,49
,,zarr,True,18,write,0.9711205959320068,4000000,50
,,hdf,,18,write,0.07123899459838867,4000000,50
,,zarr,True,18,write,0.8856344223022461,4000000,51
,,hdf,,18,write,0.04597067832946777,4000000,51
,,zarr,True,18,write,0.8901321887969971,4000000,52
,,hdf,,18,write,0.05005669593811035,4000000,52
,,zarr,True,18,write,0.9401676654815674,4000000,53
,,hdf,,18,write,0.0629112720489502,4000000,53
,,zarr,True,18,write,0.9542825222015381,4000000,54
,,hdf,,18,write,0.07125473022460938,4000000,54
,,zarr,True,18,write,1.0962350368499756,4000000,55
,,hdf,,18,write,0.023453950881958008,4000000,55
,,zarr,True,18,write,0.9756004810333252,4000000,56
,,hdf,,18,write,0.10772180557250977,4000000,56
,,zarr,True,18,write,1.095531940460205,4000000,57
,,hdf,,18,write,0.025148868560791016,4000000,57
,,zarr,True,18,write,1.0021560192108154,4000000,58
,,hdf,,18,write,0.025172948837280273,4000000,58
,,zarr,True,18,write,0.943791389465332,4000000,59
,,hdf,,18,write,0.056778907775878906,4000000,59
,,zarr,True,18,write,0.9541721343994141,4000000,60
,,hdf,,18,write,0.08504986763000488,4000000,60
,,zarr,True,18,write,0.9320182800292969,4000000,61
,,hdf,,18,write,0.020990610122680664,4000000,61
,,zarr,True,18,write,0.8982758522033691,4000000,62
,,hdf,,18,write,0.06187009811401367,4000000,62
,,zarr,True,18,write,0.9483654499053955,4000000,63
,,hdf,,18,write,0.09130120277404785,4000000,63
,,zarr,True,18,write,0.987943172454834,4000000,64
,,hdf,,18,write,0.06522655487060547,4000000,64
,,zarr,True,18,write,0.9785256385803223,4000000,65
,,hdf,,18,write,0.06378030776977539,4000000,65
,,zarr,True,18,write,0.96075439453125,4000000,66
,,hdf,,18,write,0.0582425594329834,4000000,66
,,zarr,True,18,write,0.976637601852417,4000000,67
,,hdf,,18,write,0.06705927848815918,4000000,67
,,zarr,True,18,write,1.000591516494751,4000000,68
,,hdf,,18,write,0.04639244079589844,4000000,68
,,zarr,True,18,write,0.9835336208343506,4000000,69
,,hdf,,18,write,0.056673526763916016,4000000,69
,,zarr,True,18,write,0.9629786014556885,4000000,70
,,hdf,,18,write,0.03524184226989746,4000000,70
,,zarr,True,18,write,1.0557537078857422,4000000,71
,,hdf,,18,write,0.059079885482788086,4000000,71
,,zarr,True,18,write,1.1180713176727295,4000000,72
,,hdf,,18,write,0.049329280853271484,4000000,72
,,zarr,True,18,write,0.8789231777191162,4000000,73
,,hdf,,18,write,0.053800344467163086,4000000,73
,,zarr,True,18,write,0.9865527153015137,4000000,74
,,hdf,,18,write,0.02994847297668457,4000000,74
,,zarr,True,18,write,0.9604992866516113,4000000,75
,,hdf,,18,write,0.05461263656616211,4000000,75
,,zarr,True,18,write,0.9099173545837402,4000000,76
,,hdf,,18,write,0.05211067199707031,4000000,76
,,zarr,True,18,write,1.0703787803649902,4000000,77
,,hdf,,18,write,0.021187543869018555,4000000,77
,,zarr,True,18,write,0.9618477821350098,4000000,78
,,hdf,,18,write,0.055554866790771484,4000000,78
,,zarr,True,18,write,0.9290597438812256,4000000,79
,,hdf,,18,write,0.06538772583007812,4000000,79
,,zarr,True,18,write,0.8548178672790527,4000000,80
,,hdf,,18,write,0.05288529396057129,4000000,80
,,zarr,True,18,write,1.0080392360687256,4000000,81
,,hdf,,18,write,0.06084156036376953,4000000,81
,,zarr,True,18,write,0.9683599472045898,4000000,82
,,hdf,,18,write,0.09847140312194824,4000000,82
,,zarr,True,18,write,0.9810550212860107,4000000,83
,,hdf,,18,write,0.034777164459228516,4000000,83
,,zarr,True,18,write,0.9779906272888184,4000000,84
,,hdf,,18,write,0.043417930603027344,4000000,84
,,zarr,True,18,write,0.9952685832977295,4000000,85
,,hdf,,18,write,0.05007791519165039,4000000,85
,,zarr,True,18,write,1.0011847019195557,4000000,86
,,hdf,,18,write,0.07085943222045898,4000000,86
,,zarr,True,18,write,1.002333641052246,4000000,87
,,hdf,,18,write,0.08395195007324219,4000000,87
,,zarr,True,18,write,0.996046781539917,4000000,88
,,hdf,,18,write,0.026124000549316406,4000000,88
,,zarr,True,18,write,0.9060084819793701,4000000,89
,,hdf,,18,write,0.04071998596191406,4000000,89
,,zarr,True,18,write,0.852980375289917,4000000,90
,,hdf,,18,write,0.03349137306213379,4000000,90
,,zarr,True,18,write,0.9808697700500488,4000000,91
,,hdf,,18,write,0.09765124320983887,4000000,91
,,zarr,True,18,write,0.9164586067199707,4000000,92
,,hdf,,18,write,0.041204214096069336,4000000,92
,,zarr,True,18,write,0.9670662879943848,4000000,93
,,hdf,,18,write,0.05889892578125,4000000,93
,,zarr,True,18,write,0.9890379905700684,4000000,94
,,hdf,,18,write,0.05509781837463379,4000000,94
,,zarr,True,18,write,1.0418846607208252,4000000,95
,,hdf,,18,write,0.04603004455566406,4000000,95
,,zarr,True,18,write,0.9167194366455078,4000000,96
,,hdf,,18,write,0.04483652114868164,4000000,96
,,zarr,True,18,write,1.0368576049804688,4000000,97
,,hdf,,18,write,0.06777834892272949,4000000,97
,,zarr,True,18,write,0.928192138671875,4000000,98
,,hdf,,18,write,0.05072021484375,4000000,98
,,zarr,True,18,write,0.9335200786590576,4000000,99
,,hdf,,18,write,0.03697562217712402,4000000,99
,,zarr,True,18,read,0.2230391502380371,4000000,0
,,hdf,,18,read,0.033029794692993164,4000000,0
,,zarr,True,18,read,1.2143831253051758,4000000,1
,,hdf,,18,read,0.019412994384765625,4000000,1
,,zarr,True,18,read,1.2665491104125977,4000000,2
,,hdf,,18,read,0.08243489265441895,4000000,2
,,zarr,True,18,read,1.3416774272918701,4000000,3
,,hdf,,18,read,0.024769306182861328,4000000,3
,,zarr,True,18,read,1.2487614154815674,4000000,4
,,hdf,,18,read,0.03886604309082031,4000000,4
,,zarr,True,18,read,1.300041675567627,4000000,5
,,hdf,,18,read,0.0637519359588623,4000000,5
,,zarr,True,18,read,1.2838599681854248,4000000,6
,,hdf,,18,read,0.05460548400878906,4000000,6
,,zarr,True,18,read,1.2990307807922363,4000000,7
,,hdf,,18,read,0.07240986824035645,4000000,7
,,zarr,True,18,read,1.2718429565429688,4000000,8
,,hdf,,18,read,0.0629281997680664,4000000,8
,,zarr,True,18,read,1.2798147201538086,4000000,9
,,hdf,,18,read,0.04553723335266113,4000000,9
,,zarr,True,18,read,1.3078587055206299,4000000,10
,,hdf,,18,read,0.03542947769165039,4000000,10
,,zarr,True,18,read,1.2952115535736084,4000000,11
,,hdf,,18,read,0.053461551666259766,4000000,11
,,zarr,True,18,read,1.3570373058319092,4000000,12
,,hdf,,18,read,0.06616640090942383,4000000,12
,,zarr,True,18,read,1.2566802501678467,4000000,13
,,hdf,,18,read,0.07030105590820312,4000000,13
,,zarr,True,18,read,1.2601418495178223,4000000,14
,,hdf,,18,read,0.06141495704650879,4000000,14
,,zarr,True,18,read,1.3264424800872803,4000000,15
,,hdf,,18,read,0.06321907043457031,4000000,15
,,zarr,True,18,read,1.2581689357757568,4000000,16
,,hdf,,18,read,0.06046128273010254,4000000,16
,,zarr,True,18,read,1.3596842288970947,4000000,17
,,hdf,,18,read,0.04099869728088379,4000000,17
,,zarr,True,18,read,1.284271001815796,4000000,18
,,hdf,,18,read,0.06717157363891602,4000000,18
,,zarr,True,18,read,1.3235571384429932,4000000,19
,,hdf,,18,read,0.050081491470336914,4000000,19
,,zarr,True,18,read,1.304513692855835,4000000,20
,,hdf,,18,read,0.0643610954284668,4000000,20
,,zarr,True,18,read,1.3716316223144531,4000000,21
,,hdf,,18,read,0.05820322036743164,4000000,21
,,zarr,True,18,read,1.3551409244537354,4000000,22
,,hdf,,18,read,0.023398160934448242,4000000,22
,,zarr,True,18,read,1.24049711227417,4000000,23
,,hdf,,18,read,0.048191070556640625,4000000,23
,,zarr,True,18,read,1.297269344329834,4000000,24
,,hdf,,18,read,0.03872227668762207,4000000,24
,,zarr,True,18,read,1.195875883102417,4000000,25
,,hdf,,18,read,0.04939889907836914,4000000,25
,,zarr,True,18,read,1.2771446704864502,4000000,26
,,hdf,,18,read,0.05643177032470703,4000000,26
,,zarr,True,18,read,1.2662816047668457,4000000,27
,,hdf,,18,read,0.02291584014892578,4000000,27
,,zarr,True,18,read,1.315584659576416,4000000,28
,,hdf,,18,read,0.05493664741516113,4000000,28
,,zarr,True,18,read,1.2571382522583008,4000000,29
,,hdf,,18,read,0.04674053192138672,4000000,29
,,zarr,True,18,read,1.262387990951538,4000000,30
,,hdf,,18,read,0.15976691246032715,4000000,30
,,zarr,True,18,read,1.3789169788360596,4000000,31
,,hdf,,18,read,0.05068469047546387,4000000,31
,,zarr,True,18,read,1.2843403816223145,4000000,32
,,hdf,,18,read,0.06365680694580078,4000000,32
,,zarr,True,18,read,1.3871049880981445,4000000,33
,,hdf,,18,read,0.0964670181274414,4000000,33
,,zarr,True,18,read,1.2299726009368896,4000000,34
,,hdf,,18,read,0.06639480590820312,4000000,34
,,zarr,True,18,read,1.181708812713623,4000000,35
,,hdf,,18,read,0.05180191993713379,4000000,35
,,zarr,True,18,read,1.2214641571044922,4000000,36
,,hdf,,18,read,0.06261539459228516,4000000,36
,,zarr,True,18,read,1.3360238075256348,4000000,37
,,hdf,,18,read,0.06872081756591797,4000000,37
,,zarr,True,18,read,1.2778983116149902,4000000,38
,,hdf,,18,read,0.04296875,4000000,38
,,zarr,True,18,read,1.311753749847412,4000000,39
,,hdf,,18,read,0.024842262268066406,4000000,39
,,zarr,True,18,read,1.3616838455200195,4000000,40
,,hdf,,18,read,0.08948159217834473,4000000,40
,,zarr,True,18,read,1.3933148384094238,4000000,41
,,hdf,,18,read,0.048133134841918945,4000000,41
,,zarr,True,18,read,1.4064724445343018,4000000,42
,,hdf,,18,read,0.06190609931945801,4000000,42
,,zarr,True,18,read,1.3513665199279785,4000000,43
,,hdf,,18,read,0.04557943344116211,4000000,43
,,zarr,True,18,read,1.3304567337036133,4000000,44
,,hdf,,18,read,0.07023477554321289,4000000,44
,,zarr,True,18,read,1.3364896774291992,4000000,45
,,hdf,,18,read,0.10132765769958496,4000000,45
,,zarr,True,18,read,1.3012182712554932,4000000,46
,,hdf,,18,read,0.06306219100952148,4000000,46
,,zarr,True,18,read,1.2396132946014404,4000000,47
,,hdf,,18,read,0.061658620834350586,4000000,47
,,zarr,True,18,read,1.284757375717163,4000000,48
,,hdf,,18,read,0.0680546760559082,4000000,48
,,zarr,True,18,read,1.243889331817627,4000000,49
,,hdf,,18,read,0.06753373146057129,4000000,49
,,zarr,True,18,read,1.247014045715332,4000000,50
,,hdf,,18,read,0.1194157600402832,4000000,50
,,zarr,True,18,read,1.332639217376709,4000000,51
,,hdf,,18,read,0.0604548454284668,4000000,51
,,zarr,True,18,read,1.3513832092285156,4000000,52
,,hdf,,18,read,0.10368752479553223,4000000,52
,,zarr,True,18,read,1.2750217914581299,4000000,53
,,hdf,,18,read,0.024306058883666992,4000000,53
,,zarr,True,18,read,1.2540926933288574,4000000,54
,,hdf,,18,read,0.05215597152709961,4000000,54
,,zarr,True,18,read,1.3681330680847168,4000000,55
,,hdf,,18,read,0.04356193542480469,4000000,55
,,zarr,True,18,read,1.2575626373291016,4000000,56
,,hdf,,18,read,0.0570530891418457,4000000,56
,,zarr,True,18,read,1.3297817707061768,4000000,57
,,hdf,,18,read,0.025812387466430664,4000000,57
,,zarr,True,18,read,1.3366787433624268,4000000,58
,,hdf,,18,read,0.028855323791503906,4000000,58
,,zarr,True,18,read,1.289921760559082,4000000,59
,,hdf,,18,read,0.04765796661376953,4000000,59
,,zarr,True,18,read,1.3073310852050781,4000000,60
,,hdf,,18,read,0.054621219635009766,4000000,60
,,zarr,True,18,read,1.33333420753479,4000000,61
,,hdf,,18,read,0.043656349182128906,4000000,61
,,zarr,True,18,read,1.417626142501831,4000000,62
,,hdf,,18,read,0.06627154350280762,4000000,62
,,zarr,True,18,read,1.3603978157043457,4000000,63
,,hdf,,18,read,0.055025339126586914,4000000,63
,,zarr,True,18,read,1.283555269241333,4000000,64
,,hdf,,18,read,0.05301928520202637,4000000,64
,,zarr,True,18,read,1.3588447570800781,4000000,65
,,hdf,,18,read,0.06136298179626465,4000000,65
,,zarr,True,18,read,1.349557876586914,4000000,66
,,hdf,,18,read,0.09053397178649902,4000000,66
,,zarr,True,18,read,1.3105714321136475,4000000,67
,,hdf,,18,read,0.07746171951293945,4000000,67
,,zarr,True,18,read,1.3690624237060547,4000000,68
,,hdf,,18,read,0.08165860176086426,4000000,68
,,zarr,True,18,read,1.2381460666656494,4000000,69
,,hdf,,18,read,0.09343647956848145,4000000,69
,,zarr,True,18,read,1.3317227363586426,4000000,70
,,hdf,,18,read,0.04640030860900879,4000000,70
,,zarr,True,18,read,1.2642931938171387,4000000,71
,,hdf,,18,read,0.059763193130493164,4000000,71
,,zarr,True,18,read,1.2639997005462646,4000000,72
,,hdf,,18,read,0.055296897888183594,4000000,72
,,zarr,True,18,read,1.2422099113464355,4000000,73
,,hdf,,18,read,0.06776118278503418,4000000,73
,,zarr,True,18,read,1.2959671020507812,4000000,74
,,hdf,,18,read,0.03550410270690918,4000000,74
,,zarr,True,18,read,1.3113529682159424,4000000,75
,,hdf,,18,read,0.05106019973754883,4000000,75
,,zarr,True,18,read,1.2781810760498047,4000000,76
,,hdf,,18,read,0.07364583015441895,4000000,76
,,zarr,True,18,read,1.2612035274505615,4000000,77
,,hdf,,18,read,0.027265310287475586,4000000,77
,,zarr,True,18,read,1.3232371807098389,4000000,78
,,hdf,,18,read,0.09482765197753906,4000000,78
,,zarr,True,18,read,1.3238139152526855,4000000,79
,,hdf,,18,read,0.0800788402557373,4000000,79
,,zarr,True,18,read,1.3146004676818848,4000000,80
,,hdf,,18,read,0.028477907180786133,4000000,80
,,zarr,True,18,read,1.192718505859375,4000000,81
,,hdf,,18,read,0.0933692455291748,4000000,81
,,zarr,True,18,read,1.1706373691558838,4000000,82
,,hdf,,18,read,0.07953476905822754,4000000,82
,,zarr,True,18,read,1.2872297763824463,4000000,83
,,hdf,,18,read,0.0556485652923584,4000000,83
,,zarr,True,18,read,1.2309226989746094,4000000,84
,,hdf,,18,read,0.07598066329956055,4000000,84
,,zarr,True,18,read,1.2318871021270752,4000000,85
,,hdf,,18,read,0.11891770362854004,4000000,85
,,zarr,True,18,read,1.218224048614502,4000000,86
,,hdf,,18,read,0.06995129585266113,4000000,86
,,zarr,True,18,read,1.3060369491577148,4000000,87
,,hdf,,18,read,0.049043893814086914,4000000,87
,,zarr,True,18,read,1.404109239578247,4000000,88
,,hdf,,18,read,0.10496973991394043,4000000,88
,,zarr,True,18,read,1.271071434020996,4000000,89
,,hdf,,18,read,0.0371394157409668,4000000,89
,,zarr,True,18,read,1.4158248901367188,4000000,90
,,hdf,,18,read,0.03766632080078125,4000000,90
,,zarr,True,18,read,1.2515568733215332,4000000,91
,,hdf,,18,read,0.06423830986022949,4000000,91
,,zarr,True,18,read,1.26759672164917,4000000,92
,,hdf,,18,read,0.06346940994262695,4000000,92
,,zarr,True,18,read,1.3645150661468506,4000000,93
