compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,18,write,1.127824306488037,800000,0
,,hdf,18,write,0.033646583557128906,800000,0
,,zarr,18,write,0.2838432788848877,800000,1
,,hdf,18,write,0.015691757202148438,800000,1
,,zarr,18,write,0.28490519523620605,800000,2
,,hdf,18,write,0.027582168579101562,800000,2
,,zarr,18,write,0.2655212879180908,800000,3
,,hdf,18,write,0.01631903648376465,800000,3
,,zarr,18,write,0.2447071075439453,800000,4
,,hdf,18,write,0.03554701805114746,800000,4
,,zarr,18,write,0.2983274459838867,800000,5
,,hdf,18,write,0.01262807846069336,800000,5
,,zarr,18,write,0.2615933418273926,800000,6
,,hdf,18,write,0.01919412612915039,800000,6
,,zarr,18,write,0.29537248611450195,800000,7
,,hdf,18,write,0.017338991165161133,800000,7
,,zarr,18,write,0.2887563705444336,800000,8
,,hdf,18,write,0.024119138717651367,800000,8
,,zarr,18,write,0.26451611518859863,800000,9
,,hdf,18,write,0.023879051208496094,800000,9
,,zarr,18,write,0.25322508811950684,800000,10
,,hdf,18,write,0.02593708038330078,800000,10
,,zarr,18,write,0.2643864154815674,800000,11
,,hdf,18,write,0.02121734619140625,800000,11
,,zarr,18,write,0.2574350833892822,800000,12
,,hdf,18,write,0.027183055877685547,800000,12
,,zarr,18,write,0.30025362968444824,800000,13
,,hdf,18,write,0.0318913459777832,800000,13
,,zarr,18,write,0.2759864330291748,800000,14
,,hdf,18,write,0.030247211456298828,800000,14
,,zarr,18,write,0.29303431510925293,800000,15
,,hdf,18,write,0.044495344161987305,800000,15
,,zarr,18,write,0.2624354362487793,800000,16
,,hdf,18,write,0.025150299072265625,800000,16
,,zarr,18,write,0.25141334533691406,800000,17
,,hdf,18,write,0.03462529182434082,800000,17
,,zarr,18,write,0.26310086250305176,800000,18
,,hdf,18,write,0.06266665458679199,800000,18
,,zarr,18,write,0.26366305351257324,800000,19
,,hdf,18,write,0.03929543495178223,800000,19
,,zarr,18,write,0.2813084125518799,800000,20
,,hdf,18,write,0.042377471923828125,800000,20
,,zarr,18,write,0.261044979095459,800000,21
,,hdf,18,write,0.021393299102783203,800000,21
,,zarr,18,write,0.26186084747314453,800000,22
,,hdf,18,write,0.025044679641723633,800000,22
,,zarr,18,write,0.25332212448120117,800000,23
,,hdf,18,write,0.02291107177734375,800000,23
,,zarr,18,write,0.24956011772155762,800000,24
,,hdf,18,write,0.03409099578857422,800000,24
,,zarr,18,write,0.2705216407775879,800000,25
,,hdf,18,write,0.03051304817199707,800000,25
,,zarr,18,write,0.3023552894592285,800000,26
,,hdf,18,write,0.028380155563354492,800000,26
,,zarr,18,write,0.26821327209472656,800000,27
,,hdf,18,write,0.01113271713256836,800000,27
,,zarr,18,write,0.24821019172668457,800000,28
,,hdf,18,write,0.034387826919555664,800000,28
,,zarr,18,write,0.2570459842681885,800000,29
,,hdf,18,write,0.03544163703918457,800000,29
,,zarr,18,write,0.2798635959625244,800000,30
,,hdf,18,write,0.019907474517822266,800000,30
,,zarr,18,write,0.28289055824279785,800000,31
,,hdf,18,write,0.01484823226928711,800000,31
,,zarr,18,write,0.275226354598999,800000,32
,,hdf,18,write,0.015660524368286133,800000,32
,,zarr,18,write,0.28461360931396484,800000,33
,,hdf,18,write,0.024207353591918945,800000,33
,,zarr,18,write,0.24799728393554688,800000,34
,,hdf,18,write,0.03656172752380371,800000,34
,,zarr,18,write,0.2697141170501709,800000,35
,,hdf,18,write,0.013631582260131836,800000,35
,,zarr,18,write,0.2816007137298584,800000,36
,,hdf,18,write,0.01752328872680664,800000,36
,,zarr,18,write,0.275115966796875,800000,37
