compression,compression_level,format,nested,nprocs,operation,runtime,size_in_bytes,step
,,zarr,False,9,write,0.01860523223876953,4000000,0
,,hdf,,9,write,0.0036094188690185547,4000000,0
,,zarr,False,9,write,0.007628917694091797,4000000,1
,,hdf,,9,write,0.003812551498413086,4000000,1
,,zarr,False,9,write,0.0067043304443359375,4000000,2
,,hdf,,9,write,0.003009796142578125,4000000,2
,,zarr,False,9,write,0.007035255432128906,4000000,3
,,hdf,,9,write,0.0031325817108154297,4000000,3
,,zarr,False,9,write,0.008204221725463867,4000000,4
,,hdf,,9,write,0.004216432571411133,4000000,4
,,zarr,False,9,write,0.008460521697998047,4000000,5
,,hdf,,9,write,0.0031223297119140625,4000000,5
,,zarr,False,9,write,0.007796287536621094,4000000,6
,,hdf,,9,write,0.003151416778564453,4000000,6
,,zarr,False,9,write,0.007208108901977539,4000000,7
,,hdf,,9,write,0.0032579898834228516,4000000,7
,,zarr,False,9,write,0.007956981658935547,4000000,8
,,hdf,,9,write,0.0031042098999023438,4000000,8
,,zarr,False,9,write,0.007673501968383789,4000000,9
,,hdf,,9,write,0.003226041793823242,4000000,9
,,zarr,False,9,write,0.007651805877685547,4000000,10
,,hdf,,9,write,0.003195047378540039,4000000,10
,,zarr,False,9,write,0.00751805305480957,4000000,11
,,hdf,,9,write,0.003149271011352539,4000000,11
,,zarr,False,9,write,0.008111000061035156,4000000,12
,,hdf,,9,write,0.0031256675720214844,4000000,12
,,zarr,False,9,write,0.007334232330322266,4000000,13
,,hdf,,9,write,0.003145456314086914,4000000,13
,,zarr,False,9,write,0.007623434066772461,4000000,14
,,hdf,,9,write,0.0033080577850341797,4000000,14
,,zarr,False,9,write,0.007521152496337891,4000000,15
,,hdf,,9,write,0.003155946731567383,4000000,15
,,zarr,False,9,write,0.007004261016845703,4000000,16
,,hdf,,9,write,0.0031981468200683594,4000000,16
,,zarr,False,9,write,0.008354902267456055,4000000,17
,,hdf,,9,write,0.0031266212463378906,4000000,17
,,zarr,False,9,write,0.007700443267822266,4000000,18
,,hdf,,9,write,0.003153085708618164,4000000,18
,,zarr,False,9,write,0.0076410770416259766,4000000,19
,,hdf,,9,write,0.0032188892364501953,4000000,19
,,zarr,False,9,write,0.007598161697387695,4000000,20
,,hdf,,9,write,0.0031251907348632812,4000000,20
,,zarr,False,9,write,0.009011268615722656,4000000,21
,,hdf,,9,write,0.003200531005859375,4000000,21
,,zarr,False,9,write,0.0073473453521728516,4000000,22
,,hdf,,9,write,0.0030939579010009766,4000000,22
,,zarr,False,9,write,0.007199287414550781,4000000,23
,,hdf,,9,write,0.003167867660522461,4000000,23
,,zarr,False,9,write,0.0077135562896728516,4000000,24
,,hdf,,9,write,0.003300189971923828,4000000,24
,,zarr,False,9,write,0.00783991813659668,4000000,25
,,hdf,,9,write,0.003153085708618164,4000000,25
,,zarr,False,9,write,0.007364749908447266,4000000,26
,,hdf,,9,write,0.003198862075805664,4000000,26
,,zarr,False,9,write,0.0076982975006103516,4000000,27
,,hdf,,9,write,0.003129243850708008,4000000,27
,,zarr,False,9,write,0.0077362060546875,4000000,28
,,hdf,,9,write,0.0030565261840820312,4000000,28
,,zarr,False,9,write,0.008161067962646484,4000000,29
,,hdf,,9,write,0.0031104087829589844,4000000,29
,,zarr,False,9,write,0.007652759552001953,4000000,30
,,hdf,,9,write,0.003123760223388672,4000000,30
,,zarr,False,9,write,0.007564544677734375,4000000,31
,,hdf,,9,write,0.0032067298889160156,4000000,31
,,zarr,False,9,write,0.008036613464355469,4000000,32
,,hdf,,9,write,0.003179311752319336,4000000,32
,,zarr,False,9,write,0.0077517032623291016,4000000,33
,,hdf,,9,write,0.0031747817993164062,4000000,33
,,zarr,False,9,write,0.007481098175048828,4000000,34
,,hdf,,9,write,0.0031642913818359375,4000000,34
,,zarr,False,9,write,0.007669210433959961,4000000,35
,,hdf,,9,write,0.0030672550201416016,4000000,35
,,zarr,False,9,write,0.007470130920410156,4000000,36
,,hdf,,9,write,0.0031061172485351562,4000000,36
,,zarr,False,9,write,0.00805807113647461,4000000,37
,,hdf,,9,write,0.003121614456176758,4000000,37
,,zarr,False,9,write,0.007166147232055664,4000000,38
,,hdf,,9,write,0.0031833648681640625,4000000,38
,,zarr,False,9,write,0.0071887969970703125,4000000,39
,,hdf,,9,write,0.0032083988189697266,4000000,39
,,zarr,False,9,write,0.0078277587890625,4000000,40
,,hdf,,9,write,0.0031898021697998047,4000000,40
,,zarr,False,9,write,0.008324623107910156,4000000,41
,,hdf,,9,write,0.003147125244140625,4000000,41
