compression,compression_level,format,nprocs,operation,runtime,size_in_bytes,step
,,zarr,18,write,0.8870110511779785,800000,0
,,hdf,18,write,0.1110849380493164,800000,0
,,zarr,18,write,0.2585256099700928,800000,1
,,hdf,18,write,0.032861948013305664,800000,1
,,zarr,18,write,0.3205866813659668,800000,2
,,hdf,18,write,0.01291656494140625,800000,2
,,zarr,18,write,0.27362775802612305,800000,3
,,hdf,18,write,0.021549701690673828,800000,3
,,zarr,18,write,0.28569960594177246,800000,4
,,hdf,18,write,0.030619144439697266,800000,4
,,zarr,18,write,0.25415468215942383,800000,5
,,hdf,18,write,0.018062829971313477,800000,5
,,zarr,18,write,0.24733638763427734,800000,6
,,hdf,18,write,0.04984927177429199,800000,6
,,zarr,18,write,0.2834179401397705,800000,7
,,hdf,18,write,0.026921987533569336,800000,7
,,zarr,18,write,0.2684767246246338,800000,8
,,hdf,18,write,0.042850494384765625,800000,8
,,zarr,18,write,0.24790287017822266,800000,9
,,hdf,18,write,0.03158760070800781,800000,9
,,zarr,18,write,0.29233694076538086,800000,10
,,hdf,18,write,0.009433746337890625,800000,10
,,zarr,18,write,0.24593663215637207,800000,11
,,hdf,18,write,0.03483295440673828,800000,11
,,zarr,18,write,0.244920015335083,800000,12
,,hdf,18,write,0.02378106117248535,800000,12
,,zarr,18,write,0.26355886459350586,800000,13
,,hdf,18,write,0.008389711380004883,800000,13
,,zarr,18,write,0.24753260612487793,800000,14
,,hdf,18,write,0.060877084732055664,800000,14
,,zarr,18,write,0.27753162384033203,800000,15
,,hdf,18,write,0.09513282775878906,800000,15
,,zarr,18,write,0.3149688243865967,800000,16
,,hdf,18,write,0.014028787612915039,800000,16
,,zarr,18,write,0.2670004367828369,800000,17
,,hdf,18,write,0.025065898895263672,800000,17
,,zarr,18,write,0.2780320644378662,800000,18
,,hdf,18,write,0.02062225341796875,800000,18
,,zarr,18,write,0.24846744537353516,800000,19
,,hdf,18,write,0.03607964515686035,800000,19
,,zarr,18,write,0.2758510112762451,800000,20
,,hdf,18,write,0.037744760513305664,800000,20
,,zarr,18,write,0.2503838539123535,800000,21
,,hdf,18,write,0.04791712760925293,800000,21
,,zarr,18,write,0.27091097831726074,800000,22
,,hdf,18,write,0.04659318923950195,800000,22
,,zarr,18,write,0.24611902236938477,800000,23
,,hdf,18,write,0.031247615814208984,800000,23
,,zarr,18,write,0.2311720848083496,800000,24
,,hdf,18,write,0.044365644454956055,800000,24
,,zarr,18,write,0.2721588611602783,800000,25
,,hdf,18,write,0.017195940017700195,800000,25
,,zarr,18,write,0.25525784492492676,800000,26
,,hdf,18,write,0.026941537857055664,800000,26
,,zarr,18,write,0.259033203125,800000,27
,,hdf,18,write,0.046869754791259766,800000,27
,,zarr,18,write,0.2514328956604004,800000,28
,,hdf,18,write,0.042008161544799805,800000,28
,,zarr,18,write,0.2809019088745117,800000,29
,,hdf,18,write,0.021382570266723633,800000,29
,,zarr,18,write,0.2662687301635742,800000,30
,,hdf,18,write,0.006078481674194336,800000,30
,,zarr,18,write,0.31244802474975586,800000,31
,,hdf,18,write,0.021519899368286133,800000,31
,,zarr,18,write,0.24467778205871582,800000,32
,,hdf,18,write,0.02979135513305664,800000,32
,,zarr,18,write,0.2528235912322998,800000,33
,,hdf,18,write,0.02817821502685547,800000,33
,,zarr,18,write,0.27999138832092285,800000,34
,,hdf,18,write,0.031540632247924805,800000,34
,,zarr,18,write,0.2830617427825928,800000,35
,,hdf,18,write,0.005410909652709961,800000,35
,,zarr,18,write,0.25258755683898926,800000,36
,,hdf,18,write,0.02668619155883789,800000,36
,,zarr,18,write,0.27292966842651367,800000,37
,,hdf,18,write,0.03609609603881836,800000,37
,,zarr,18,write,0.24902749061584473,800000,38
,,hdf,18,write,0.027803659439086914,800000,38
,,zarr,18,write,0.24553823471069336,800000,39
,,hdf,18,write,0.04146170616149902,800000,39
,,zarr,18,write,0.2515537738800049,800000,40
,,hdf,18,write,0.03335094451904297,800000,40
,,zarr,18,write,0.23912692070007324,800000,41
,,hdf,18,write,0.04196953773498535,800000,41
,,zarr,18,write,0.2369678020477295,800000,42
,,hdf,18,write,0.04250144958496094,800000,42
,,zarr,18,write,0.287015438079834,800000,43
,,hdf,18,write,0.0325927734375,800000,43
